timestamp,scrip_code,company_name,quarter,filename,status,note
2026-04-05T07:15:10.496253,500209,INFOSYS LIMITED,FY25,,not_found,Not found on BSE
2026-04-05T07:15:33.367403,500209,INFOSYS LIMITED,FY24,,not_found,Not found on BSE
2026-04-05T07:16:06.462346,500209,INFOSYS LIMITED,FY23,,not_found,Not found on BSE
2026-04-05T07:33:49.413041,500209,INFOSYS LIMITED,FY25,INFOSYS LIMITED_500209_FY25_AnnualReport.pdf,success,nse
2026-04-05T07:45:06.438721,500002,ABB India Limited,FY25,,not_found,Not found on NSE (ABB)
2026-04-05T07:45:07.784677,508869,APOLLO HOSPITALS ENTERPRISE LIMITED,FY23,APOLLO HOSPITALS ENTERPRISE LIMITED_508869_FY23_AnnualReport.pdf,success,nse
2026-04-05T07:45:08.976649,539177,Authum Investment and Infrastructure Limited,FY23,,not_found,Not found on NSE (AIIL)
2026-04-05T07:45:09.961909,506285,BAYER CROPSCIENCE LIMITED,FY25,,not_found,Not found on NSE (BAYERCROP)
2026-04-05T07:45:11.561965,506285,BAYER CROPSCIENCE LIMITED,FY24,,not_found,Not found on NSE (BAYERCROP)
2026-04-05T07:45:12.512653,506285,BAYER CROPSCIENCE LIMITED,FY23,,not_found,Not found on NSE (BAYERCROP)
2026-04-05T07:45:13.943371,500490,Bajaj Holdings & Investment Limited,FY25,,not_found,Not found on NSE (BAJAJHLDNG)
2026-04-05T07:45:15.057111,500033,Force Motors Limited,FY23,,not_found,Not found on NSE (FORCEMOT)
2026-04-05T07:45:16.214763,522275,GE T&D India Limited,FY25,,not_found,Not found on NSE (GET&D)
2026-04-05T07:45:17.271854,522275,GE T&D India Limited,FY24,,not_found,Not found on NSE (GET&D)
2026-04-05T07:45:18.736598,522275,GE T&D India Limited,FY23,,not_found,Not found on NSE (GET&D)
2026-04-05T07:45:18.774008,500182,HERO MOTOCORP LIMITED,FY25,HERO MOTOCORP LIMITED_500182_FY25_AnnualReport.pdf,success,cached
2026-04-05T07:45:18.792106,500182,HERO MOTOCORP LIMITED,FY24,HERO MOTOCORP LIMITED_500182_FY24_AnnualReport.pdf,success,cached
2026-04-05T07:45:19.482788,540755,GENERAL INSURANCE CROPORATION OF INDIA,FY23,,not_found,Not found on NSE (GICRE)
2026-04-05T07:45:22.183448,500182,HERO MOTOCORP LIMITED,FY23,HERO MOTOCORP LIMITED_500182_FY23_AnnualReport.pdf,success,nse
2026-04-05T07:45:22.636421,541154,HINDUSTAN AERONAUTICS LIMITED,FY25,HINDUSTAN AERONAUTICS LIMITED_541154_FY25_AnnualReport.pdf,success,nse
2026-04-05T07:45:25.282475,541154,HINDUSTAN AERONAUTICS LIMITED,FY24,HINDUSTAN AERONAUTICS LIMITED_541154_FY24_AnnualReport.pdf,success,nse
2026-04-05T07:45:25.626727,541154,HINDUSTAN AERONAUTICS LIMITED,FY23,HINDUSTAN AERONAUTICS LIMITED_541154_FY23_AnnualReport.pdf,success,nse
2026-04-05T07:45:28.749637,543187,HITACHI ENERGY INDIA LIMITED,FY25,HITACHI ENERGY INDIA LIMITED_543187_FY25_AnnualReport.pdf,success,nse
