timestamp,scrip_code,company_name,quarter,filename,status,note
2026-03-26T14:37:52.018417,500325,RELIANCE INDUSTRIES LTD.,December 2025,,failed,
2026-03-26T14:37:53.400409,500325,RELIANCE INDUSTRIES LTD.,September 2025,,failed,
2026-03-26T14:37:55.127883,500325,RELIANCE INDUSTRIES LTD.,June 2025,,failed,
2026-03-26T14:37:57.557672,500325,RELIANCE INDUSTRIES LTD.,March 2025,,failed,
2026-03-26T14:37:58.967193,500325,RELIANCE INDUSTRIES LTD.,December 2024,,failed,
2026-03-26T14:38:00.883160,500325,RELIANCE INDUSTRIES LTD.,December 2024,,failed,
2026-03-26T14:38:02.388607,500325,RELIANCE INDUSTRIES LTD.,September 2024,,failed,
2026-03-26T14:38:25.904099,500180,HDFC BANK LTD.,December 2025,,failed,
2026-03-26T14:38:27.347458,500180,HDFC BANK LTD.,September 2025,,failed,
2026-03-26T14:38:28.870644,500180,HDFC BANK LTD.,September 2025,,failed,
2026-03-26T14:38:29.792766,500180,HDFC BANK LTD.,September 2025,,failed,
2026-03-26T14:38:30.615313,500180,HDFC BANK LTD.,September 2025,,failed,
2026-03-26T14:38:31.590527,500180,HDFC BANK LTD.,June 2025,,failed,
2026-03-26T14:38:32.879390,500180,HDFC BANK LTD.,March 2025,,failed,
2026-03-26T14:38:34.114770,500180,HDFC BANK LTD.,December 2024,,failed,
2026-03-26T14:38:35.273786,500180,HDFC BANK LTD.,December 2024,,failed,
2026-03-26T14:38:36.204417,500180,HDFC BANK LTD.,December 2024,,failed,
2026-03-26T14:38:37.118638,500180,HDFC BANK LTD.,December 2024,,failed,
2026-03-26T14:38:38.057327,500180,HDFC BANK LTD.,December 2024,,failed,
2026-03-26T14:38:38.870277,500180,HDFC BANK LTD.,September 2024,,failed,
2026-03-26T14:38:59.307572,532454,BHARTI AIRTEL LTD.,December 2025,,failed,
2026-03-26T14:39:00.412113,532454,BHARTI AIRTEL LTD.,September 2025,,failed,
2026-03-26T14:39:01.606348,532454,BHARTI AIRTEL LTD.,June 2025,,failed,
2026-03-26T14:39:02.840238,532454,BHARTI AIRTEL LTD.,March 2025,,failed,
