NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_trading_days,cum_return,cum_mkt_return,mar_log,mar_pct,iar_pct,sar_pct
ABB,500002,Specialty Industrial Machinery,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.22141862117942016,0.11260975697957949,0.0933045993063051,0.09779607226816518,-0.04416220586556838,-0.1916484965490413
ATUL,500027,Specialty Chemicals,Basic Materials,FY23,2022-10-12,2022-10-13,2023-10-19,252,-0.22159827945018795,0.16726776356066703,-0.4051783107987111,-0.33314210770684427,-0.11993774155123782,-0.17704204259591383
FORCEMOT,500033,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.5982304266343992,0.11405148187926321,0.8468272541965749,1.3322355105632235,1.3927101119999847,1.3629064484832878
BAJFINANCE,500034,Credit Services,Financial Services,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.012119383242371108,0.11260975697957949,-0.09466185661261291,-0.0903195150921661,-0.5799076739707805,-0.44402514387488495
ABREL,500040,Real Estate Services,Real Estate,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.2802151667760618,0.09955274675446713,0.15212465958520943,0.1643053692102113,0.0,-0.012210963684202214
BASF,500042,Specialty Chemicals,Basic Materials,FY23,2022-10-10,2022-10-11,2023-10-17,252,-0.10166053789895013,0.16828052959837225,-0.2627402969727145,-0.23105843216450922,0.0,-0.05710430104467602
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,-0.16009646185974433,0.09955274675446713,-0.26937173254925223,-0.23614074848215694,0.0,-0.3954204400108558
BEL,500049,Aerospace & Defense,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.2357013217918232,0.11260975697957949,0.10493029264687014,0.11063318835743671,-0.2506868373415275,-0.17736579593663823
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.506962923045591,0.12442329531197713,0.29282603835761123,0.34020962508383124,0.17988178672156613,0.09389580531712954
CESC,500084,Utilities - Regulated Electric,Utilities,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.11925067516332231,0.11260975697957949,0.005951033216043969,0.005968775792305675,-0.3977925193967784,0.026262371982352012
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,-0.15283371321781386,0.11342049025607434,-0.27329507909859363,-0.23913176181323256,0.008488859683199346,-0.10827747636353975
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.2979515643437804,0.12442329531197713,0.1435170241507362,0.1543264620675232,-0.19930408394885496,-0.15819296277347566
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.4061683138465447,0.09955274675446713,0.2459649940890245,0.27885480528070167,0.0,-0.006898803881916715
IFCI,500106,Credit Services,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.0503896474001866,0.12442329531197713,0.6007595691622701,0.8235033514058382,0.45836259018703496,0.5942451202829305
SAIL,500113,Steel,Basic Materials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.06050261380667045,0.13996678584861416,-0.07225616704913013,-0.06970744501366238,-0.3970325204200423,0.10505885066094456
EIDPARRY,500125,Agricultural Inputs,Basic Materials,FY23,2022-10-18,2022-10-19,2023-10-26,252,-0.2559672974699052,0.09955274675446713,-0.39057379336452375,-0.3233315048084372,-0.094644724568892,-0.21141106061563109
