NSE Symbol,BSE Code,Industry,Sector,FY,FY_End,net_income,equity,roe,CG_Filing_Date
360ONE,542772,Asset Management,Financial Services,FY23,2023-03-31,6579300000.0,31219500000.0,0.21074328544659587,2022-10-17
360ONE,542772,Asset Management,Financial Services,FY24,2024-03-31,8042100000.0,34497300000.0,0.23312259220286805,2023-10-11
360ONE,542772,Asset Management,Financial Services,FY25,2025-03-31,10153000000.0,70647100000.0,0.1437143208992301,2024-10-19
3MINDIA,523395,Conglomerates,Industrials,FY23,2023-03-31,4510192000.0,16774704000.0,0.268868648889423,2022-10-21
3MINDIA,523395,Conglomerates,Industrials,FY24,2024-03-31,5834168000.0,21469034000.0,0.2717480441830778,2023-10-19
3MINDIA,523395,Conglomerates,Industrials,FY25,2025-03-31,4760674000.0,18464969000.0,0.25782193298022865,2024-10-19
ABB,500002,Specialty Industrial Machinery,Industrials,FY23,2023-03-31,10162300000.0,49394100000.0,0.20573914698314172,2022-10-19
ABB,500002,Specialty Industrial Machinery,Industrials,FY24,2024-03-31,12420500000.0,59446000000.0,0.20893752313023584,2023-10-18
ABB,500002,Specialty Industrial Machinery,Industrials,FY25,2025-03-31,18716400000.0,70754000000.0,0.2645278005483789,2024-10-19
ACC,500410,Building Materials,Basic Materials,FY23,2023-03-31,6494400000.0,138860400000.0,0.04676927331334203,2022-10-13
ACC,500410,Building Materials,Basic Materials,FY24,2024-03-31,23349200000.0,163282200000.0,0.14299905317297293,2023-10-17
ACC,500410,Building Materials,Basic Materials,FY25,2025-03-31,24021200000.0,185548400000.0,0.12946056123361882,2024-10-18
ADANIGREEN,541450,Utilities - Renewable,Utilities,FY23,2023-03-31,9740000000.0,73040000000.0,0.1333515881708653,2023-04-21
ADANIGREEN,541450,Utilities - Renewable,Utilities,FY24,2024-03-31,11000000000.0,106420000000.0,0.10336402931779741,2023-10-21
ADANIGREEN,541450,Utilities - Renewable,Utilities,FY25,2025-03-31,14440000000.0,121370000000.0,0.1189750350168905,2024-10-19
ADANIPOWER,533096,Utilities - Independent Power Producers,Utilities,FY23,2023-03-31,107266400000.0,298756600000.0,0.35904277930596346,2022-10-20
ADANIPOWER,533096,Utilities - Independent Power Producers,Utilities,FY24,2024-03-31,208287900000.0,431450300000.0,0.48276220922780677,2023-10-20
ADANIPOWER,533096,Utilities - Independent Power Producers,Utilities,FY25,2025-03-31,129387700000.0,563470900000.0,0.22962623269453666,2024-10-17
ABSLAMC,543374,Asset Management,Financial Services,FY23,2023-03-31,5963800000.0,25169900000.0,0.23694174390839853,2022-10-18
ABSLAMC,543374,Asset Management,Financial Services,FY24,2024-03-31,7803600000.0,31688800000.0,0.2462573527555477,2023-10-11
ABSLAMC,543374,Asset Management,Financial Services,FY25,2025-03-31,9306000000.0,37268700000.0,0.24970015052845954,2024-10-14
AFFLE,542752,Advertising Agencies,Communication Services,FY23,2023-03-31,2445890000.0,14650510000.0,0.1669491369242436,2022-10-18
AFFLE,542752,Advertising Agencies,Communication Services,FY24,2024-03-31,2972690000.0,24980400000.0,0.11900089670301517,2023-10-06
AFFLE,542752,Advertising Agencies,Communication Services,FY25,2025-03-31,3818690000.0,29464570000.0,0.12960277377202517,2024-10-14
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY23,2023-03-31,10559289000.0,56913260000.0,0.18553301989729634,2022-10-17
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY24,2024-03-31,11355733000.0,66577419000.0,0.1705643320297532,2023-10-16
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY25,2025-03-31,10607360000.0,69269984000.0,0.15313068355840823,2024-10-17
ALKEM,539523,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2023-03-31,9841700000.0,90452900000.0,0.10880469282908563,2022-10-19
ALKEM,539523,Drug Manufacturers - Specialty & Generic,Healthcare,FY24,2024-03-31,17957700000.0,103120600000.0,0.1741427028159262,2023-10-18
ALKEM,539523,Drug Manufacturers - Specialty & Generic,Healthcare,FY25,2025-03-31,21654800000.0,119848700000.0,0.18068447968146506,2024-10-16
AMBER,540902,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY23,2023-03-31,1572036000.0,19087737000.0,0.08235842729811292,2022-10-11
AMBER,540902,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY24,2024-03-31,1328805000.0,20643576000.0,0.06436893491708995,2023-10-12
AMBER,540902,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY25,2025-03-31,2435580000.0,22857934000.0,0.10655293693647029,2024-10-18
AMBUJACEM,500425,Building Materials,Basic Materials,FY24,2024-03-31,35734000000.0,414516800000.0,0.08620639742466409,2023-10-17
AMBUJACEM,500425,Building Materials,Basic Materials,FY25,2025-03-31,41674300000.0,534432500000.0,0.07797860347190712,2024-10-18
ANANTRAJ,515055,Real Estate - Development,Real Estate,FY23,2023-03-31,1511163000.0,28250797000.0,0.05349098646668269,2022-10-21
ANANTRAJ,515055,Real Estate - Development,Real Estate,FY24,2024-03-31,2659262000.0,36563565000.0,0.07272983364723871,2023-10-21
ANANTRAJ,515055,Real Estate - Development,Real Estate,FY25,2025-03-31,4258186000.0,41607857000.0,0.1023409112370291,2024-10-21
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY23,2023-03-31,6377200000.0,22363900000.0,0.2851559879985155,2022-10-18
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY24,2024-03-31,8251100000.0,38764300000.0,0.21285306325665626,2023-10-20
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY25,2025-03-31,8213000000.0,45035400000.0,0.18236764856090987,2024-10-19
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY23,2023-03-31,8191000000.0,61974000000.0,0.13216832865395164,2022-10-20
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY24,2024-03-31,8986000000.0,69354000000.0,0.12956714825388585,2023-10-18
