NSE Symbol,BSE Code,Industry,Sector,FY,Filing_Date,Window_Start,Window_End,n_obs,beta,total_vol,downside_vol
ABB,500002,Specialty Industrial Machinery,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.0229827935543372,0.01733974593372391,0.012203059724034522
ATUL,500027,Specialty Chemicals,Basic Materials,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.7190273599830355,0.014012553668623811,0.008295102251470333
FORCEMOT,500033,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.643198156808873,0.028501977662259655,0.011707144251359314
BAJFINANCE,500034,Credit Services,Financial Services,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.0147581384725295,0.014934262930876581,0.008647604740998755
ABREL,500040,Real Estate Services,Real Estate,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.4304221922560796,0.02166009340015966,0.01147002976107691
BASF,500042,Specialty Chemicals,Basic Materials,FY23,2022-10-10,2022-10-11,2023-10-17,252,0.5351597727628559,0.013874594427786085,0.009088716624493676
BATAINDIA,500043,Footwear & Accessories,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.6345251499772865,0.01076078033808786,0.007061045510362968
BEL,500049,Aerospace & Defense,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.4203079490180772,0.01678448316825998,0.010019111553383324
BLUESTARCO,500067,Building Products & Equipment,Industrials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.3524984110168361,0.016167223405033893,0.00850086044077557
CESC,500084,Utilities - Regulated Electric,Utilities,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.8091582225975991,0.014813178811632922,0.009142933942036222
CHAMBLFERT,500085,Agricultural Inputs,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.3798293961852082,0.016618074964743424,0.009662993771716782
CRISIL,500092,Financial Data & Stock Exchanges,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.3685512945144769,0.015751011242578338,0.00891919890973622
CGPOWER,500093,Electrical Equipment & Parts,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7471610084122369,0.016906144282273754,0.008174243743535278
IFCI,500106,Credit Services,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.634050141913516,0.03561183572213344,0.017930618226366452
SAIL,500113,Steel,Basic Materials,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.6616193468087221,0.018500921058777382,0.009430358168164425
EIDPARRY,500125,Agricultural Inputs,Basic Materials,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.121962599092508,0.02007620519538973,0.011353108345024222
GODFRYPHLP,500163,Tobacco,Consumer Defensive,FY23,2022-10-12,2022-10-13,2023-10-19,252,1.4267392413364726,0.025460932481886463,0.012284615769568033
GODREJIND,500164,Conglomerates,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.9566848485278988,0.02020827932250851,0.008510837435777109
KANSAINER,500165,Specialty Chemicals,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.4173596750778891,0.012865073874872629,0.008617351315472003
HDFCBANK,500180,Banks - Regional,Financial Services,FY23,2023-01-19,2023-01-20,2024-02-01,252,1.1324941072152024,0.012293102256299161,0.008779911116201283
HEROMOTOCO,500182,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.8765706178043307,0.01367324361577901,0.007062767652045803
HSCL,500184,Specialty Chemicals,Basic Materials,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.3591966430868219,0.026511178118022123,0.014099628206409923
HINDZINC,500188,Other Industrial Metals & Mining,Basic Materials,FY23,2022-10-15,2022-10-17,2023-10-23,252,0.6968356306421961,0.014192415600425626,0.009060473768948371
INFY,500209,Information Technology Services,Technology,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.1420233918596825,0.0146571669094957,0.011551226434353122
KAJARIACER,500233,Building Products & Equipment,Industrials,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.4458042705547918,0.016137267076111753,0.008278814594115247
WHIRLPOOL,500238,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.5757535856494452,0.011458948918593115,0.008755436746599798
LMW,500252,Specialty Industrial Machinery,Industrials,FY23,2022-10-11,2022-10-12,2023-10-18,252,0.941185401944897,0.0169665441237992,0.009241858291021098
LICHSGFIN,500253,Mortgage Finance,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.3115481363176271,0.0171456693267742,0.011910728575897114
RAMCOCEM,500260,Building Materials,Basic Materials,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.7941983258196195,0.015205658961424279,0.009223436332194324
MAHSCOOTER,500266,Asset Management,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.666444489797622,0.01580510044549363,0.009461666243904342
MFSL,500271,Insurance - Life,Financial Services,FY23,2022-10-12,2022-10-13,2023-10-19,252,1.1217420245061915,0.018704982958843607,0.011575995003152324
MRF,500290,Auto Parts,Consumer Cyclical,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.5171082260141204,0.012554080577291075,0.009702879375574975
VEDL,500295,Other Industrial Metals & Mining,Basic Materials,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.37173139891625,0.018241521611542178,0.013159372903169852
ONGC,500312,Oil & Gas Integrated,Energy,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.7409121110162027,0.012361700446748279,0.006616363394533371
RELIANCE,500325,Oil & Gas Refining & Marketing,Energy,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1804441768871257,0.011504615109635262,0.0048054755993763585
PATANJALI,500368,Packaged Foods,Consumer Defensive,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.1803912726560055,0.01857083881891884,0.011606544831098397
SHREECEM,500387,Building Materials,Basic Materials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7320914601011688,0.015366566993074907,0.011097286877325765
TATAPOWER,500400,Utilities - Independent Power Producers,Utilities,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.3536874451874912,0.014148805793967361,0.0059433884911090544
SUNDRMFAST,500403,Auto Parts,Consumer Cyclical,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.28191564654239565,0.013932999659549573,0.008204483985774202
TATAELXSI,500408,Software - Application,Technology,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.8006150794008651,0.012424178757992814,0.006432426670337462
ACC,500410,Building Materials,Basic Materials,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.8362388859794374,0.0187565001872737,0.012102971616943233
THERMAX,500411,Conglomerates,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.76343029724136,0.019905114130755727,0.012662005072248347
TORNTPHARM,500420,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.45146640021600737,0.012228385460864532,0.008253886634993372
AMBUJACEM,500425,Building Materials,Basic Materials,FY23,2022-10-11,2022-10-12,2023-10-18,252,2.204924539233524,0.026138878360891817,0.021498384136812407
PGHH,500459,Household & Personal Products,Consumer Defensive,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.36355066510505407,0.012397906428656342,0.007138159066873018
FEDERALBNK,500469,Banks - Regional,Financial Services,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.1109813926445156,0.015016539782126356,0.01014587557877874
TATASTEEL,500470,Steel,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.326513344146858,0.01481111303588412,0.007480455401203765
BAJAJHLDNG,500490,Asset Management,Financial Services,FY23,2022-11-14,2022-11-15,2023-11-21,252,0.6008969505094797,0.015604644577296961,0.010448764261219531
BHARATFORG,500493,Auto Parts,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.0070044895426205,0.014022632968483401,0.007755211670764565
ESCORTS,500495,Farm & Heavy Construction Machinery,Industrials,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.7272669616232851,0.017064050521288763,0.008451481194721522
LT,500510,Engineering & Construction,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7857724318471908,0.011726683022633308,0.006404348234767252
M&M,500520,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.0717422280710363,0.014207022777335487,0.008260071434894815
BOSCHLTD,500530,Auto Parts,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.676515758175861,0.011236032835162715,0.007281401924517893
BPCL,500547,Oil & Gas Refining & Marketing,Energy,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.7125578507251309,0.01389250407646999,0.008036886067924472
VOLTAS,500575,"Furnishings, Fixtures & Appliances",Consumer Cyclical,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.8247022061785866,0.014118780725890427,0.008952557239711174
GESHIP,500620,Marine Shipping,Industrials,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.160436940276321,0.021157696544116287,0.013103372358318675
DEEPAKFERT,500645,Chemicals,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1894386263335126,0.022734464265525754,0.013237667447959013
HINDUNILVR,500696,Household & Personal Products,Consumer Defensive,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.431126515869501,0.010518180024791289,0.006785719925374343
AKZOINDIA,500710,Specialty Chemicals,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.31955785226189154,0.013001977031768048,0.007465711516807419
TATACHEM,500770,Chemicals,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1868466976698113,0.014317415137153679,0.008708061667252003
NESTLEIND,500790,Packaged Foods,Consumer Defensive,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.46733173262825306,0.010523326295819943,0.0058378540600057165
TATACONSUM,500800,Packaged Foods,Consumer Defensive,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.8130811460237177,0.011237539949254709,0.005084205580450845
COLPAL,500830,Household & Personal Products,Consumer Defensive,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.37875496227344035,0.011330932302072763,0.0067106800986226674
INDHOTEL,500850,Lodging,Consumer Cyclical,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.9350471731180796,0.016307112805008652,0.010053314727169969
CASTROLIND,500870,Oil & Gas Refining & Marketing,Energy,FY23,2023-04-19,2023-04-20,2024-05-02,252,1.6760911418165927,0.02350146287786639,0.009544271422934923
ITC,500875,Tobacco,Consumer Defensive,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.6084730479508326,0.010915409507933575,0.005992082287291488
APOLLOTYRE,500877,Auto Parts,Consumer Cyclical,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.8517740378966605,0.016561604098211714,0.011424268690028876
CEATLTD,500878,Auto Parts,Consumer Cyclical,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.0779668039083683,0.024652912462647742,0.011558791864129074
TATAINVEST,501301,Asset Management,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.034741956749643,0.020405220484115673,0.010153896785574735
BALKRISIND,502355,Auto Parts,Consumer Cyclical,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.9312126301653154,0.0175653426169661,0.014510155902149626
PHOENIXLTD,503100,Real Estate - Diversified,Real Estate,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.8061848718679818,0.018328057166409235,0.011017352266428176
SRF,503806,Conglomerates,Industrials,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.9552892855623761,0.012981470185482116,0.007928501262454826
SARDAEN,504614,Steel,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.64931812341786,0.026012156456493577,0.014317741709966499
CHOLAHLDNG,504973,Credit Services,Financial Services,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.7740832748227746,0.017363182108827663,0.008208706334411424
EICHERMOT,505200,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.8400813122680202,0.014368537773847105,0.00978004048388851
SCHAEFFLER,505790,Auto Parts,Consumer Cyclical,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.6369454387935248,0.018743265970671594,0.013261717132792682
BAYERCROP,506285,Agricultural Inputs,Basic Materials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.24100959869629096,0.011949264985041027,0.0058586966347906584
DEEPAKNTR,506401,Chemicals,Basic Materials,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.1781661938687376,0.016311834841730762,0.010471897739311498
ASTRAZEN,506820,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.4726242468548399,0.014155265792234542,0.008180880195293104
JBCHEPHARM,506943,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.5648789670545157,0.01873475900116613,0.0101050489099067
WIPRO,507685,Information Technology Services,Technology,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.0696372647497345,0.011170484008834518,0.005379814017170333
APOLLOHOSP,508869,Medical Care Facilities,Healthcare,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.6531011456258016,0.01365171779969354,0.007109405032412512
SUPREMEIND,509930,Building Products & Equipment,Industrials,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.6044756145137045,0.02102011248376214,0.013555493648522361
CHOLAFIN,511243,Credit Services,Financial Services,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.9880743370794473,0.017062930840731932,0.008763358559790668
UPL,512070,Agricultural Inputs,Basic Materials,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.0580546277803724,0.013709196957924528,0.008362449700230992
ADANIENT,512599,Thermal Coal,Energy,FY23,2022-10-21,2022-10-24,2023-10-31,252,2.9833167258451496,0.04792483027755607,0.04165357982394915
HINDCOPPER,513599,Copper,Basic Materials,FY23,2022-10-10,2022-10-11,2023-10-17,252,1.8979201229577813,0.023064494485290608,0.012917462317174944
NLCINDIA,513683,Utilities - Regulated Electric,Utilities,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.8391941462119357,0.02484656749394208,0.012776307720278492
ANANTRAJ,515055,Real Estate - Development,Real Estate,FY23,2022-10-21,2022-10-24,2023-10-31,252,2.21405727120542,0.025810328940845315,0.01271784271014165
HONAUT,517174,Electrical Equipment & Parts,Industrials,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.702270160326461,0.013860917911000104,0.007352698907914268
MOTHERSON,517334,Auto Parts,Consumer Cyclical,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1259793748041007,0.017229091976858252,0.012277087125230488
KEI,517569,Electrical Equipment & Parts,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.6031616078600076,0.020586672276417136,0.011696466151159234
TVSHLTD,520056,Auto Parts,Consumer Cyclical,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.7473649143298478,0.02070290480391405,0.020469601096311272
TRIDENT,521064,Textile Manufacturing,Consumer Cyclical,FY23,2022-10-21,2022-10-24,2023-10-31,252,1.3932141078374118,0.022186225991379035,0.012520934686596213
TIMKEN,522113,Tools & Accessories,Industrials,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.2370349099734892,0.02091488871133583,0.011723070230060332
3MINDIA,523395,Conglomerates,Industrials,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.29589801581303365,0.01566116991962452,0.007813694909706183
JMFINANCIL,523405,Capital Markets,Financial Services,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.2506765473701253,0.022359548704682725,0.012219808659016363
VINATIORGA,524200,Specialty Chemicals,Basic Materials,FY23,2022-10-13,2022-10-14,2023-10-20,252,0.505127237369557,0.013125216617639785,0.007923447722067276
SUNPHARMA,524715,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.41874248348393306,0.009978565198372796,0.005720450051710657
AUROPHARMA,524804,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-21,2022-10-24,2023-10-31,252,0.6864685599060295,0.018710018093877845,0.011846626285623678
NATCOPHARM,524816,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.4287858991126775,0.01613491925258435,0.009845154097284882
MPHASIS,526299,Information Technology Services,Technology,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.3424772666186338,0.01855645618840601,0.010649810413188967
JUBLPHARMA,530019,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.2171165541963624,0.026743925802226863,0.014257864350508133
CONCOR,531344,Railroads,Industrials,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.9782405534534592,0.014187191106260526,0.009222406318121913
HATSUN,531531,Packaged Foods,Consumer Defensive,FY23,2022-10-15,2022-10-17,2023-10-23,252,0.37995750586075827,0.015835623553586475,0.009326017644653864
CGCL,531595,Credit Services,Financial Services,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.31997672231996566,0.01889370046402233,0.012984783677125274
MARICO,531642,Household & Personal Products,Consumer Defensive,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.3177671353731039,0.013217290960810207,0.008996473785145209
BANKBARODA,532134,Banks - Regional,Financial Services,FY23,2022-10-13,2022-10-14,2023-10-20,252,1.6252840692760375,0.020228720510599513,0.011040731791393517
GMDCLTD,532181,Thermal Coal,Energy,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.8454716869733008,0.03299233203011876,0.014252662703226289
CUB,532210,Banks - Regional,Financial Services,FY23,2022-10-14,2022-10-17,2023-10-23,252,1.6664686976302971,0.02179765434562103,0.01863112475540903
NATIONALUM,532234,Aluminum,Basic Materials,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.6243179136872148,0.01852282279237063,0.009112661188055905
APARINDS,532259,Electrical Equipment & Parts,Industrials,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.8493456858186376,0.03320742873841934,0.01988041501705248
HCLTECH,532281,Information Technology Services,Technology,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.9380647403456468,0.012654675183190587,0.008194873194747912
JINDALSTEL,532286,Steel,Basic Materials,FY23,2022-10-19,2022-10-20,2023-10-27,252,1.6097698367990017,0.019962164896116,0.01076463308447312
WOCKPHARMA,532300,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-20,2022-10-21,2023-10-30,252,1.1995554083844548,0.02228332402513153,0.012574659141793424
ZYDUSLIFE,532321,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-05,2022-10-06,2023-10-12,252,0.5303834746677332,0.013334439663756916,0.006794131903828495
AJANTPHARM,532331,Drug Manufacturers - Specialty & Generic,Healthcare,FY23,2022-10-04,2022-10-06,2023-10-12,252,0.25293090182992783,0.016261426076230774,0.00975724984377479
OFSS,532466,Software - Infrastructure,Technology,FY23,2022-10-12,2022-10-13,2023-10-19,252,0.7843357680891141,0.011352761011935924,0.005746110595522456
UNIONBANK,532477,Banks - Regional,Financial Services,FY23,2022-10-15,2022-10-17,2023-10-23,252,1.8422192273748823,0.026769423806659184,0.01383752861738659
UBL,532478,Beverages - Brewers,Consumer Defensive,FY23,2023-04-10,2023-04-11,2024-04-23,252,0.7353891146588114,0.012962079513111862,0.0071800267361800015
RADICO,532497,Beverages - Wineries & Distilleries,Consumer Defensive,FY23,2022-10-18,2022-10-19,2023-10-26,252,0.19129966975021953,0.017943715302830957,0.010095021439805422
MARUTI,532500,Auto Manufacturers,Consumer Cyclical,FY23,2022-10-19,2022-10-20,2023-10-27,252,0.673612684419093,0.010692658311518121,0.0052619197697153204
NAVINFLUOR,532504,Chemicals,Basic Materials,FY23,2023-01-18,2023-01-19,2024-01-31,252,0.7198192329825768,0.017576765959868273,0.015610405148819399
UCOBANK,532505,Banks - Regional,Financial Services,FY23,2022-10-11,2022-10-12,2023-10-18,252,1.4293074822798075,0.03528313507687066,0.015578212814453613
IGL,532514,Utilities - Regulated Gas,Utilities,FY23,2022-10-17,2022-10-18,2023-10-25,252,1.0794808403517777,0.017984687342560344,0.013074721231409615
PETRONET,532522,Oil & Gas Refining & Marketing,Energy,FY23,2022-10-20,2022-10-21,2023-10-30,252,0.6282178912368402,0.01473872817055439,0.011239675162515663
COFORGE,532541,Information Technology Services,Technology,FY23,2022-10-18,2022-10-19,2023-10-26,252,1.1850553330835802,0.018714447234620592,0.010072814010232987
IIFL,532636,Credit Services,Financial Services,FY23,2022-07-25,2022-07-26,2023-08-02,252,0.9713589542671675,0.0226649550531822,0.012001331896860826
YESBANK,532648,Banks - Regional,Financial Services,FY23,2022-10-12,2022-10-13,2023-10-19,252,1.2049942624069225,0.022991374026234256,0.0142369912680154
AIAENG,532683,Specialty Industrial Machinery,Industrials,FY23,2022-10-17,2022-10-18,2023-10-25,252,0.32598915264943085,0.01581707832826448,0.008341823282570245
KEC,532714,Engineering & Construction,Industrials,FY23,2022-10-14,2022-10-17,2023-10-23,252,0.8859390016920063,0.022561039233337802,0.010678024135896035
