NSE Symbol,FY,ROA,Asset_Growth,Amihud_Illiquidity,BSE Code
360ONE,FY23,0.05878542466713009,,,542772
360ONE,FY24,0.05319253779222626,0.35085498112054436,,542772
360ONE,Q4FY23,,,0.000289251563375551,542772
360ONE,Q4FY24,,,9.92949241593425e-05,542772
3MINDIA,FY23,0.16615646033577575,,,523395
3MINDIA,FY24,0.17961103416649027,0.1966526829791963,,523395
3MINDIA,Q4FY23,,,0.0001971354613227322,523395
3MINDIA,Q4FY24,,,0.00014614711013766573,523395
ABREL,FY23,0.03216890449664207,,,500040
ABREL,FY24,0.00480772890231928,0.24356456261743284,,500040
ABREL,Q4FY23,,,0.00014229771127839114,500040
ABREL,Q4FY24,,,7.959948242334592e-05,500040
ABSLAMC,FY23,0.21390040600834972,,,543374
ABSLAMC,FY24,0.22284221197367107,0.25598969915211683,,543374
ABSLAMC,Q4FY23,,,0.000319536800043742,543374
ABSLAMC,Q4FY24,,,0.00035896080186464474,543374
ACC,FY23,0.03232675588580508,,,500410
ACC,FY24,0.09992065984986138,0.16316091799544646,,500410
ACC,Q4FY23,,,1.0715981300208827e-05,500410
ACC,Q4FY24,,,1.2950325092031524e-05,500410
ADANIENT,FY23,0.01741478524441185,,,512599
ADANIENT,FY24,0.02016264977974185,0.13601191961258574,,512599
ADANIENT,Q4FY23,,,3.0015177612813855e-06,512599
ADANIENT,Q4FY24,,,2.0506086975397485e-06,512599
ADANIGREEN,FY23,0.014459405293864401,,,541450
ADANIGREEN,FY24,0.012424043913347942,0.3143807247517109,,541450
ADANIGREEN,Q4FY23,,,3.182702543030266e-05,541450
ADANIGREEN,Q4FY24,,,1.3202036476988225e-05,541450
ADANIPOWER,FY23,0.1249881293996232,,,533096
ADANIPOWER,FY24,0.22560348647497308,0.07577958238091792,,533096
ADANIPOWER,Q4FY23,,,3.0362349810065153e-05,533096
ADANIPOWER,Q4FY24,,,1.251989315790051e-05,533096
AFFLE,FY23,0.12164425065810709,,,542752
AFFLE,FY24,0.090546788452055,0.6327934028649852,,542752
AFFLE,Q4FY23,,,5.69815007269194e-05,542752
AFFLE,Q4FY24,,,5.655145948513267e-05,542752
AIAENG,FY23,0.15923651385904114,,,532683
AIAENG,FY24,0.15150743704735323,0.13028823161569456,,532683
AIAENG,Q4FY23,,,0.00011714018060345874,532683
AIAENG,Q4FY24,,,5.925836739542704e-05,532683
AJANTPHARM,FY23,0.12566306619762257,,,532331
AJANTPHARM,FY24,0.17595976190014206,-0.008683442259276515,,532331
AJANTPHARM,Q4FY23,,,0.00016820374330519418,532331
AJANTPHARM,Q4FY24,,,7.350799510658555e-05,532331
ALKEM,FY23,0.07154139997746545,,,539523
ALKEM,FY24,0.11529897463226088,0.132172440237994,,539523
ALKEM,Q4FY23,,,4.491394041364308e-05,539523
ALKEM,Q4FY24,,,1.6048911289882052e-05,539523
AMBER,FY23,0.02517947210779822,,,540902
AMBER,FY24,0.020154181333803797,0.05603965221154072,,540902
AMBER,Q4FY23,,,0.00010325849647836561,540902
AMBER,Q4FY24,,,5.576838168405005e-05,540902
AMBUJACEM,FY23,,,,500425
AMBUJACEM,FY24,0.05488783429753894,,,500425
AMBUJACEM,Q4FY23,,,4.400625385709697e-06,500425
AMBUJACEM,Q4FY24,,,7.454946946647978e-06,500425
ANANDRATHI,FY23,0.2698312035835491,,,543415
ANANDRATHI,FY24,0.2557296786578507,0.4095639178893374,,543415
ANANDRATHI,Q4FY23,,,0.0003552452696628852,543415
ANANDRATHI,Q4FY24,,,0.00013701898870205757,543415
ANANTRAJ,FY23,0.03468693585293848,,,515055
ANANTRAJ,FY24,0.054624402924128616,0.11745244569084608,,515055
ANANTRAJ,Q4FY23,,,0.0003162000906012561,515055
ANANTRAJ,Q4FY24,,,6.380905486051548e-05,515055
ANGELONE,FY23,0.11901486438758806,,,543235
ANGELONE,FY24,0.0849215839793966,0.7724413122749049,,543235
ANGELONE,Q4FY23,,,3.238230308367444e-05,543235
ANGELONE,Q4FY24,,,2.1354644465635547e-05,543235
APARINDS,FY23,0.07760369448686669,,,532259
APARINDS,FY24,0.08580809005216436,0.17013501426806935,,532259
APARINDS,Q4FY23,,,0.00024659230451340826,532259
APARINDS,Q4FY24,,,3.8387300895029254e-05,532259
APLLTD,FY23,0.0553128583512728,,,533573
APLLTD,FY24,0.09554144080129329,0.0424967207573231,,533573
APLLTD,Q4FY23,,,0.00018996281095590465,533573
APLLTD,Q4FY24,,,0.00015172139143227283,533573
APOLLOHOSP,FY23,0.056772342283646846,,,508869
APOLLOHOSP,FY24,0.0536378341918809,0.16116802284478576,,508869
APOLLOHOSP,Q4FY23,,,5.988857918233578e-06,508869
APOLLOHOSP,Q4FY24,,,4.578963219996024e-06,508869
APOLLOTYRE,FY23,0.03823505239787817,,,500877
APOLLOTYRE,FY24,0.0638737163611198,-0.014465242150993514,,500877
APOLLOTYRE,Q4FY23,,,2.073490151441115e-05,500877
APOLLOTYRE,Q4FY24,,,1.4646802573650989e-05,500877
ARE&M,FY23,0.09178882904969556,,,500008
ARE&M,FY24,0.104077186291458,0.12756465647167575,,500008
ARE&M,Q4FY23,,,5.0833437262097555e-05,500008
