Category,Window,N,beta,t,p_raw,p_rw,sig_rw
AINDEX,m1p1,2253,-0.007643547325596712,-0.9770175484264093,0.32856046473995537,0.9475,
AINDEX,m3p3,2253,-0.013425432449470155,-1.1509852933665627,0.24973828588616875,0.8575,
AINDEX,m5p5,2253,-0.005740462486923218,-0.3805123730290091,0.7035651137174024,1.0,
AINDEX,m10p10,2253,-0.004366857878911172,-0.20006773254884092,0.8414276088438928,1.0,
AINDEX,0p5,2253,-0.0024485290792011782,-0.22285736805727027,0.8236465173076162,1.0,
BINDEX,m1p1,2253,0.012812866624963632,2.2838004591303407,0.02238326068593266,0.0945,*
BINDEX,m3p3,2253,0.0077273916308276125,0.8769594133570284,0.3805086834072493,0.9725,
BINDEX,m5p5,2253,0.010741925493515367,0.8365716038893054,0.40283341257933647,0.9725,
BINDEX,m10p10,2253,0.009444022891686653,0.5380653150751514,0.5905319571736949,0.9985,
BINDEX,0p5,2253,0.0010300604316096536,0.11592441557101785,0.9077124453196452,1.0,
CINDEX,m1p1,2354,0.014014514106602366,2.2537393422573775,0.024212570784684084,0.0945,*
CINDEX,m3p3,2354,0.020380518630367182,1.9332637322189448,0.053203717184080235,0.235,
CINDEX,m5p5,2354,0.01764958494116162,1.2527699855513446,0.21028942774118264,0.8035,
CINDEX,m10p10,2354,0.03430889130630008,1.6508481910087316,0.09876957704662725,0.458,
CINDEX,0p5,2354,0.009026339406440915,0.8812752218718872,0.378168873892585,0.9725,
DINDEX,m1p1,2253,-0.00026072684957099057,-0.06285599900165265,0.9498811732303589,1.0,
DINDEX,m3p3,2253,-0.007919473489100997,-1.3415369703785465,0.17974617472303067,0.7365,
DINDEX,m5p5,2253,-0.002269115234005977,-0.2999297530438052,0.7642307388529892,1.0,
DINDEX,m10p10,2253,-0.005972131854982242,-0.5387203742728763,0.5900798131268292,0.9985,
DINDEX,0p5,2253,-0.0071241875563320236,-1.3804504033223484,0.16744801028413203,0.724,
OINDEX,m1p1,2253,-0.005982978894670142,-0.8155014209038735,0.4147853515674913,0.9725,
OINDEX,m3p3,2253,0.001676122921003933,0.155029544577088,0.8767980256755186,1.0,
OINDEX,m5p5,2253,-0.0016625866012985732,-0.13843840448316355,0.8898939468224527,1.0,
OINDEX,m10p10,2253,-0.0006664207219983576,-0.035361642304804215,0.97179137057629,1.0,
OINDEX,0p5,2253,-0.0013734753787987032,-0.15722719750091865,0.8750657943604285,1.0,
TRINDEX,m1p1,2253,0.0009731152171052216,0.20726830525599704,0.8358003254006448,1.0,
TRINDEX,m3p3,2253,-0.0035724006536765997,-0.4813332308600043,0.6302796827121093,0.9985,
TRINDEX,m5p5,2253,-0.009678746608607531,-1.0739492540646058,0.2828454261883777,0.9035,
TRINDEX,m10p10,2253,-0.00734887397479763,-0.556469248221858,0.5778901111728854,0.9985,
TRINDEX,0p5,2253,-0.00951838297120008,-1.3605644760111943,0.1736513642543338,0.7275,
