Category,Window,N,beta,se,t,p_raw,p_rw,sig_raw,sig_rw
AINDEX,m1p1,2287,-0.006983774648778346,0.007727047679937994,-0.9038089239323016,0.3660967289675592,0.973,,
AINDEX,m3p3,2287,-0.011196996384016592,0.01154753432136705,-0.9696439146578818,0.33222401540785995,0.9575,,
AINDEX,m5p5,2287,-0.003233754694773882,0.015077419696609858,-0.21447666509548635,0.8301753621356247,1.0,,
AINDEX,m10p10,2287,-0.0006530137396415715,0.02166935856246705,-0.030135351619158687,0.9759591070108609,1.0,,
AINDEX,0p5,2287,0.0003210932924661923,0.011076009357930608,0.028989980243767505,0.976872581844314,1.0,,
BINDEX,m1p1,2287,0.011710998180400518,0.005515177920682363,2.123412580486901,0.03371929391181916,0.1355,**,
BINDEX,m3p3,2287,0.006021772736341178,0.00852826456296367,0.7060959110593708,0.4801284943742621,0.9915,,
BINDEX,m5p5,2287,0.009742189146355513,0.012691707640109986,0.7676027074218901,0.4427232534298029,0.983,,
BINDEX,m10p10,2287,0.007607743947687712,0.01737760846169906,0.43779004253982834,0.6615384898389709,1.0,,
BINDEX,0p5,2287,-0.0005599851102736578,0.008769555789444428,-0.06385558444678463,0.949085218537361,1.0,,
CINDEX,m1p1,2392,0.013630058925195369,0.006040451856788202,2.2564634647121706,0.024041620913785033,0.098,**,*
CINDEX,m3p3,2392,0.019577703727931023,0.010373265166394235,1.8873231729731506,0.05911687147548661,0.259,*,
CINDEX,m5p5,2392,0.01788488330354423,0.013941826133509682,1.2828221448377746,0.1995543939183828,0.794,,
CINDEX,m10p10,2392,0.035826752404045585,0.020567212161328736,1.7419352765470286,0.08151977032542357,0.3685,*,
CINDEX,0p5,2392,0.008943258786894068,0.009967134425914714,0.8972748239094125,0.36957228716639445,0.973,,
DINDEX,m1p1,2287,0.0002917340662327808,0.004110705008908058,0.07096935090223737,0.943422148400892,1.0,,
DINDEX,m3p3,2287,-0.006873048779175845,0.005838036022995234,-1.1772878331178218,0.23908064147300756,0.858,,
DINDEX,m5p5,2287,-0.0008222032892941802,0.00746523642369377,-0.1101376088618714,0.9123002420157267,1.0,,
DINDEX,m10p10,2287,-0.004427508488249662,0.010954050153254348,-0.4041891744428694,0.6860736137656096,1.0,,
DINDEX,0p5,2287,-0.006358574416421767,0.005109646573663964,-1.2444254851587977,0.21334300813889295,0.8115,,
OINDEX,m1p1,2287,-0.005844986226691214,0.007222354557082363,-0.8092909563626342,0.41834780693028994,0.976,,
OINDEX,m3p3,2287,0.0017811984432276867,0.010601255142783183,0.1680176940595793,0.8665693591140158,1.0,,
OINDEX,m5p5,2287,-0.0008386775525751921,0.012008989637279286,-0.06983747824810346,0.9443230166593899,1.0,,
OINDEX,m10p10,2287,-0.001960506585647474,0.018643324082407105,-0.10515863893057134,0.9162499300441627,1.0,,
OINDEX,0p5,2287,-0.0017532661841938343,0.008680115456291443,-0.2019865050208575,0.8399272741792385,1.0,,
TRINDEX,m1p1,2287,0.0014571100997202333,0.004788094987282399,0.3043193803778843,0.7608845815134926,1.0,,
TRINDEX,m3p3,2287,-0.0026158291309090567,0.007404026306813911,-0.3532981951322504,0.7238648984762179,1.0,,
TRINDEX,m5p5,2287,-0.008208944994947811,0.009141305491944423,-0.8980057610132125,0.36918247811382043,0.973,,
TRINDEX,m10p10,2287,-0.005900625883608646,0.013228361358089538,-0.44605871610849496,0.6555548330643237,1.0,,
TRINDEX,0p5,2287,-0.00959792035224591,0.007219477971843824,-1.3294479725096582,0.18370021977939732,0.759,,
