NSE Symbol,Q_FY,FY,Filing_Date,Window_Start,Window_End,n_obs,alpha_daily,alpha_annual,t_alpha,p_alpha,r_squared,beta_Mkt_RF,beta_SMB,beta_HML,beta_RMW,beta_CMA,beta_MOM
ABB,Q4FY22,FY22,2022-07-13,2022-07-14,2023-07-20,252,0.0005892153930251522,0.1600722400012263,0.3281703271135019,0.7430631709124463,0.04668755664049595,0.9496663120606293,2.8268706241101125,-1.0423729673583038,-2.8418943318770573,-13.110549279034833,-0.842885301742958
ABB,Q4FY23,FY23,2023-07-18,2023-07-19,2024-07-30,252,0.002820888244899996,1.0357490561241112,1.3180033988878483,0.18873349070492731,0.024927957122585997,0.4594574605495587,-1.3765141154858966,0.5148038080466294,1.4769049269761179,-1.3436490538132193,0.8524527194550704
ABB,Q4FY24,FY24,2024-07-17,2024-07-18,2025-07-21,252,-0.0011322340368592027,-0.24822858998669636,-0.4731226376616364,0.6365469352074556,0.030571804087576537,1.6091959623152619,0.043199946878341056,-1.5697978084164281,0.2551242108308389,-0.8544454477716498,-0.008866806916052794
ATUL,Q4FY22,FY22,2022-07-12,2022-07-13,2023-07-19,252,-0.00038368397997210515,-0.09216112171853093,-0.2810298496300826,0.7789246933461875,0.027857924032833936,0.6171869895212309,-0.16361508846573902,-0.26223855984893796,0.8645876672694016,-3.294840705750106,0.5843418947677511
ATUL,Q4FY23,FY23,2023-07-13,2023-07-14,2024-07-25,252,-0.0014066571832489563,-0.298460175233089,-0.9225648323054146,0.35714165911870405,0.0619383528731251,2.0302229990441742,1.1913378627652298,-1.6120100413608134,-0.6165391162521477,0.7071239055092641,-0.5446638526923548
ATUL,Q4FY24,FY24,2024-07-12,2024-07-15,2025-07-17,252,-4.780936480097372e-05,-0.011975673851759705,-0.021804132961423774,0.9826219446808485,0.04518132653588591,1.1383801835621317,1.3784485138065075,1.748814229118467,-0.6135774771802764,2.112320059365415,0.2056197127718289
FORCEMOT,Q4FY22,FY22,2022-07-15,2022-07-18,2023-07-24,252,0.001805664006120805,0.5762164597199905,0.6545746352069893,0.5133556786864962,0.050983646797136184,3.3210411083387212,2.0812509530810854,-0.44762915110852275,-1.3269914403709338,-15.753823520049053,-0.15978146963016812
FORCEMOT,Q4FY23,FY23,2023-07-13,2023-07-14,2024-07-25,210,0.006118546553526037,2.614287628275701,1.664252288959545,0.09760481661306292,0.016250390068676457,-1.8549491249991066,-2.2148995590813394,4.1007080099927045,2.419426153261111,1.5902476931594747,1.194421167373741
FORCEMOT,Q4FY24,FY24,2024-07-12,2024-07-15,2025-07-17,252,0.003996876583022007,1.7379594013883783,1.0635551656628657,0.28857739424501516,0.0153366751190952,1.1103568753397652,-1.1337694867088484,-5.855334106950714,-0.4082005754050696,-1.3477961828432472,-0.4559119291697046
BAJFINANCE,Q4FY22,FY22,2022-07-15,2022-07-18,2023-07-24,252,-0.0010722565366668593,-0.23677976607254966,-0.6489498995688697,0.5169786052954893,0.06809540787504575,2.6559084198376155,1.1059805452613796,-0.25163967098936596,2.7114373115874497,3.424283319486929,-0.007518141853802301
BAJFINANCE,Q4FY23,FY23,2023-07-15,2023-07-17,2024-07-26,252,9.176954739894866e-05,0.023395403466206156,0.06302410814901989,0.9497986943281964,0.0236574668991274,0.48366001226154376,-0.29505051073851846,0.7806162059062287,1.1802056202221922,-1.7774687233795463,-0.41425157511356353
BAJFINANCE,Q4FY24,FY24,2024-07-18,2024-07-19,2025-07-22,252,0.0006294629537692865,0.17189800902262495,0.35266113742824745,0.7246456970094032,0.02910584963552698,0.7950954897258455,-1.9001320338517,-3.261326645697714,0.8753017895017876,-2.3864580331878025,-1.42724010844557
ABREL,Q4FY22,FY22,2022-07-11,2022-07-12,2023-07-18,252,-4.952304138679253e-05,-0.012402256582793397,-0.025672761329695048,0.9795392481005899,0.03466507361294091,1.534642829918528,0.375017476682081,-0.9174377639501301,-0.8459411871266191,5.718417874329594,-0.4886285795736679
ABREL,Q4FY23,FY23,2023-07-10,2023-07-11,2024-07-22,252,0.0008928930166494475,0.25233403748542244,0.32462657079640755,0.7457407184455145,0.02011767982487378,0.7797780935297283,0.674619423967808,2.954735334774348,2.6556541246087377,-2.61740422837651,0.5997164731373377
ABREL,Q4FY24,FY24,2024-07-12,2024-07-15,2025-07-17,252,-0.0038087444904872586,-0.6170319109204411,-1.1768400337338547,0.24040143828500235,0.030876958160912626,1.6739301916682194,5.31608661491688,9.027620723219819,0.004720342860217663,2.554049249224187,0.12288339985502003
BASF,Q4FY22,FY22,2022-07-13,2022-07-14,2023-07-20,252,0.0003505547341256911,0.09235923499501338,0.23462253262897692,0.8146976805282259,0.03917738969331863,0.3040217994748688,0.23252626529689413,-0.2295616984407294,-1.000522570803216,-2.65309755725303,0.9543681233799121
BASF,Q4FY23,FY23,2023-07-17,2023-07-18,2024-07-29,252,0.0024574581696672074,0.8575890899657733,1.2084533799332478,0.2280379878775399,0.021827144463478887,1.5043370515808767,0.02544392273684537,-0.5956352097396709,1.7406817903687264,1.6533804266435124,0.011323556137390112
BASF,Q4FY24,FY24,2024-07-16,2024-07-18,2025-07-21,252,-0.005527036069679175,-0.7516243819053753,-1.7048765035278066,0.08948506609252822,0.03435200658050708,0.9751956748730598,5.354611281461382,5.724172798833694,0.2853433085696565,1.864447084088917,-1.6294635256530556
BATAINDIA,Q4FY22,FY22,2022-07-20,2022-07-21,2023-07-27,252,-0.0006580391688635709,-0.1528062572763656,-0.5808262531485322,0.5618914523926131,0.06508267992142414,1.9853012742940985,0.003138729285635855,-0.5095272532665459,1.4636505536027227,2.1050606863204986,-0.19500388705409052
