BSE_Code,Company,Sector,Q_FY,Quarter_Period,Quarter_End_Date,Filing_Date,Source_File
500002,ABB India Limited,Industrials,Q1FY22,June 2021,2021-06-30,2021-10-14,500002_500002_14102021183441_CG.xml
500002,ABB India Limited,Industrials,Q1FY23,June 2022,2022-06-30,2022-10-19,500002_500002_19102022162826_CG.xml
500002,ABB India Limited,Industrials,Q1FY24,June 2023,2023-06-30,2023-10-18,500002_500002_18102023111327_CG.xml
500002,ABB India Limited,Industrials,Q1FY25,June 2024,2024-06-30,2024-10-19,500002_500002_1910202414336_CG.xml
500002,ABB India Limited,Industrials,Q1FY26,June 2025,2025-06-30,2025-10-23,500002_ICGIG_500002_2310202517753_ICGIG.html
500002,ABB India Limited,Industrials,Q2FY22,September 2021,2021-09-30,2022-01-21,500002_500002_2112022153251_CG.xml
500002,ABB India Limited,Industrials,Q2FY23,September 2022,2022-09-30,2023-01-13,500002_500002_1312023151850_CG.xml
500002,ABB India Limited,Industrials,Q2FY24,September 2023,2023-09-30,2024-01-17,500002_500002_171202415818_CG.xml
500002,ABB India Limited,Industrials,Q2FY25,September 2024,2024-09-30,2025-02-14,500002_ICGIG_500002_1422025191413_ICGIG.html
500002,ABB India Limited,Industrials,Q2FY26,September 2025,2025-09-30,2026-01-13,500002_ICGIG_500002_1312026173014_ICGIG.html
500002,ABB India Limited,Industrials,Q3FY21,December 2020,2020-12-31,2021-04-14,500002_500002_1442021181635_CG.xml
500002,ABB India Limited,Industrials,Q3FY22,December 2021,2021-12-31,2022-04-11,500002_500002_1142022141757_CG.xml
500002,ABB India Limited,Industrials,Q3FY23,December 2022,2022-12-31,2023-04-13,500002_500002_134202316344_CG.xml
500002,ABB India Limited,Industrials,Q3FY24,December 2023,2023-12-31,2024-04-17,500002_500002_17420241501_CG.xml
500002,ABB India Limited,Industrials,Q3FY25,December 2024,2024-12-31,2025-04-28,500002_ICGIG_500002_2842025111817_ICGIG.html
500002,ABB India Limited,Industrials,Q4FY21,March 2021,2021-03-31,2021-07-15,500002_500002_1572021145658_CG.xml
500002,ABB India Limited,Industrials,Q4FY22,March 2022,2022-03-31,2022-07-13,500002_500002_1372022163438_CG.xml
500002,ABB India Limited,Industrials,Q4FY23,March 2023,2023-03-31,2023-07-18,500002_500002_1872023144717_CG.xml
500002,ABB India Limited,Industrials,Q4FY24,March 2024,2024-03-31,2024-07-17,500002_500002_1772024192356_CG.xml
500002,ABB India Limited,Industrials,Q4FY25,March 2025,2025-03-31,2025-08-12,500002_ICGIG_500002_120820251100_ICGIG.html
500003,AEGIS LOGISTICS LTD.,,Q1FY24,June 2023,2023-06-30,2023-10-05,500003_500003_5102023163413_CG.xml
500003,AEGIS LOGISTICS LTD.,,Q1FY25,June 2024,2024-06-30,2024-10-12,500003_500003_1210202420521_CG.xml
