Outcome,Category,N,beta,se,t,p_raw,p_rw
mar_pct,AINDEX,439,0.02590436164531362,0.020154412364007678,1.2852948117492309,0.2000406841032253,0.9825
mar_pct,BINDEX,439,0.03533871383294224,0.024997076393261996,1.413713879054586,0.15885937821740956,0.981
mar_pct,CINDEX,461,-0.022660306539607718,0.024469522054091187,-0.9260624906982612,0.35538417616590945,0.99
mar_pct,DINDEX,439,-0.02790900729289042,0.024591855523425906,-1.134888226157015,0.2576571188085831,0.9825
mar_pct,OINDEX,439,-0.009903232543315333,0.025758575507103285,-0.38446351742488166,0.7010063008359113,0.999
mar_pct,TRINDEX,439,-0.022017421265381674,0.022650368356662128,-0.9720557705149071,0.3320903307919799,0.99
capm_alpha,AINDEX,439,0.02247632153155469,0.0184695605261595,1.2169386217782596,0.22493142320923282,0.9825
capm_alpha,BINDEX,439,0.02414987486849112,0.02253646860758477,1.0715909084515287,0.28507794896755234,0.9845
capm_alpha,CINDEX,461,-0.019898747073938523,0.02285441304092908,-0.8706741686300423,0.38483991798970973,0.99
capm_alpha,DINDEX,439,-0.02554992652301043,0.023870713369739605,-1.0703461654983268,0.2856363959009061,0.9845
capm_alpha,OINDEX,439,-0.008997091341305266,0.023889657062633986,-0.37661031791777755,0.7068261931547097,0.999
capm_alpha,TRINDEX,439,-0.02135710789654736,0.021688126383406742,-0.9847373405610252,0.3258348416973018,0.989
ff5_alpha,AINDEX,439,-0.03283245433830691,0.02856872883925089,-1.149244494672722,0.2517030555165983,0.9825
ff5_alpha,BINDEX,439,0.09889157792079231,0.031781462109660916,3.1116119698826346,0.002107242306139667,0.109
ff5_alpha,CINDEX,461,-0.056097867775440825,0.02612047773978163,-2.1476585663670105,0.032786427899016694,0.6865
ff5_alpha,DINDEX,439,-0.06421740035787178,0.03315736877120363,-1.936745970435478,0.054057093551230465,0.8255
ff5_alpha,OINDEX,439,-0.022734365951911046,0.026910209073104853,-0.8448230888935265,0.3991274169868321,0.99
ff5_alpha,TRINDEX,439,0.031418679100736875,0.024902020534219114,1.2616919601990888,0.20839571307139265,0.9825
total_vol,AINDEX,439,3.9777663042699245e-05,0.0002602006230710909,0.15287305069915746,0.8786385065372997,0.999
total_vol,BINDEX,439,-0.00026618582649936244,0.00033740183484271344,-0.7889282126264969,0.43100332002939756,0.99
total_vol,CINDEX,461,-0.0003871904024009885,0.00027347098077771696,-1.4158372537366408,0.15817589653254857,0.981
total_vol,DINDEX,439,-0.00018907307192642402,0.00033489339744124176,-0.5645768873648742,0.5729367658316799,0.99
total_vol,OINDEX,439,-0.0005822579625877778,0.0003063126441833291,-1.9008616641998444,0.0586272426370496,0.834
total_vol,TRINDEX,439,-0.000976394720069956,0.0003245448224715503,-3.008504996734456,0.0029312085970487367,0.129
idio_vol,AINDEX,439,7.2658370469869855e-06,0.00025804435514149214,0.028157318314531415,0.9775622041530168,0.999
idio_vol,BINDEX,439,-0.00037818915321015026,0.00032275040084311246,-1.1717697397810092,0.24255693898983952,0.9825
idio_vol,CINDEX,461,-0.00035221108594290075,0.00025415987696111836,-1.3857855541721968,0.16715459534955154,0.982
idio_vol,DINDEX,439,-0.00010388182077541807,0.0003207889764743941,-0.323832264802622,0.746372670345,0.999
idio_vol,OINDEX,439,-0.0007187071051479452,0.0002968566589655007,-2.4210577173930603,0.01628634871507563,0.4645
idio_vol,TRINDEX,439,-0.0009207911092847494,0.00030205438202784524,-3.048428243626226,0.0025822058518756336,0.1185
downside_vol,AINDEX,439,-5.702300161463471e-05,0.0001589590270585332,-0.35872767133657174,0.7201428400494851,0.999
downside_vol,BINDEX,439,-0.00023376992236811406,0.00018829830407507276,-1.2414871366813383,0.2157478644450729,0.9825
downside_vol,CINDEX,461,-5.0938828344753974e-05,0.0001571001771910266,-0.32424424501326116,0.7460478084463341,0.999
downside_vol,DINDEX,439,-0.0002922335511271653,0.0002085925581346719,-1.400977838042012,0.16262967441860915,0.982
downside_vol,OINDEX,439,-0.0003187157970701318,0.00017276150524573764,-1.8448310960059497,0.0664063458004727,0.8535
downside_vol,TRINDEX,439,-0.00032568746311078064,0.0001912761679922698,-1.7027080086837736,0.09003508510981446,0.909
roe,AINDEX,438,-0.010986107011511571,0.00810359310798749,-1.3557081241755422,0.17658208048531307,0.9825
roe,BINDEX,438,0.011139620111291475,0.008159425637082978,1.3652456198220746,0.1735702738517598,0.9825
roe,CINDEX,460,-0.007695990325438645,0.00563335801886647,-1.3661461422590737,0.17322733272455315,0.9825
roe,DINDEX,438,-0.007278710284516173,0.007743093583574774,-0.9400261285691179,0.34823511979359145,0.99
roe,OINDEX,438,0.01571013307567899,0.008264667703918137,1.9008789752346709,0.058624962369051875,0.834
roe,TRINDEX,438,0.009714261517784926,0.007093500603883842,1.3694594615902564,0.17225197801325912,0.9825
