Outcome,Category,N,beta,se,t,p_raw,p_rw
mar_pct,AINDEX_augmented,410,-0.013401673175995266,0.021612790230553,-0.6200806574733669,0.5358933445987144,0.9995
mar_pct,BINDEX_augmented,406,0.012244950170519808,0.02489187783371168,0.4919255289746028,0.6233035158547543,1.0
mar_pct,CINDEX_augmented,413,-0.006430008261823263,0.018643619670369926,-0.3448905510576573,0.7305285258237824,1.0
mar_pct,OINDEX,395,-0.015240480498571527,0.025702828040711174,-0.5929495569293719,0.5538915514839831,0.9995
mar_pct,TRINDEX,395,-0.01597167685591764,0.022043207039894222,-0.724562302890491,0.46957591430256584,0.999
capm_alpha,AINDEX_augmented,410,-0.017231798214110746,0.01968286144353417,-0.8754722103564571,0.3823416309623874,0.998
capm_alpha,BINDEX_augmented,406,0.00985951227357927,0.023244876695334437,0.4241585104023463,0.6718993571604532,1.0
capm_alpha,CINDEX_augmented,413,-0.00040804704325422906,0.01756037876364875,-0.023236801936124287,0.9814838754996946,1.0
capm_alpha,OINDEX,395,-0.012574221081454466,0.023788604094317788,-0.5285817121340878,0.5976876365582342,1.0
capm_alpha,TRINDEX,395,-0.016622848781602344,0.021107244287057896,-0.7875423506513732,0.4319061783486806,0.999
ff5_alpha,AINDEX_augmented,410,-0.05986831558029784,0.02829455615296965,-2.1158952010637697,0.03556051706061618,0.686
ff5_alpha,BINDEX_augmented,406,0.052991240161461756,0.02809294537262253,1.8862828179313447,0.060684557507721094,0.806
ff5_alpha,CINDEX_augmented,413,-0.030789913547279283,0.026634085256683496,-1.1560342039362113,0.24900613168965183,0.9855
ff5_alpha,OINDEX,395,-0.02000853523968359,0.026436046353721397,-0.7568656436731884,0.4500300345196888,0.999
ff5_alpha,TRINDEX,395,0.03172654070845267,0.024461834168279583,1.2969812684607869,0.19614694320482925,0.98
total_vol,AINDEX_augmented,410,-0.00022463745420630738,0.00026478050204285114,-0.8483912239502924,0.3972096567885701,0.999
total_vol,BINDEX_augmented,406,-0.00017227655347274405,0.00025626128437536205,-0.6722691408211305,0.5021768123928634,0.9995
total_vol,CINDEX_augmented,413,-0.0001319856670815599,0.00024845469723541193,-0.5312262901453736,0.5958342880174166,1.0
total_vol,OINDEX,395,-0.0006223986725539063,0.0002959997004325622,-2.102700346129937,0.03675562626662095,0.686
total_vol,TRINDEX,395,-0.0009493287424451672,0.00031241028695054487,-3.038724338150388,0.0026963619035862926,0.1445
idio_vol,AINDEX_augmented,410,-0.00022850531657877122,0.00024692362761149947,-0.9254088755665499,0.3558413531995279,0.9965
idio_vol,BINDEX_augmented,406,-0.0001725338173302645,0.0002470714580302928,-0.6983154537790057,0.4857791050347372,0.9995
idio_vol,CINDEX_augmented,413,-1.4222885088996082e-06,0.0002429104545065804,-0.00585519677112571,0.9953339218507149,1.0
idio_vol,OINDEX,395,-0.0007405466295494977,0.000290048641072055,-2.5531808279202672,0.011427531505567242,0.359
idio_vol,TRINDEX,395,-0.0009132262663630737,0.00029243983147816553,-3.1227834517175133,0.002059960735431641,0.122
downside_vol,AINDEX_augmented,410,-0.00023677464460210981,0.00014938252700994687,-1.585022353962079,0.11450262036612921,0.9055
downside_vol,BINDEX_augmented,406,-5.5071045025935917e-05,0.00013491039338526164,-0.40820461377405026,0.6835536942347493,1.0
downside_vol,CINDEX_augmented,413,-2.744255091283887e-05,0.00016939240266606166,-0.16200579530676365,0.8714600810359514,1.0
downside_vol,OINDEX,395,-0.0003185114800356187,0.00016793916192960198,-1.8965884810663445,0.05933814114392507,0.806
downside_vol,TRINDEX,395,-0.0003379500184700071,0.00018959999148369542,-1.7824368863385154,0.07621031829809298,0.827
roe,AINDEX_augmented,409,-0.0013107645655378235,0.004224270101799503,-0.3102937392614759,0.7566528215041883,1.0
roe,BINDEX_augmented,405,0.00810492485639499,0.0064402032357488825,1.2584889885780959,0.20966041606738423,0.983
roe,CINDEX_augmented,412,0.0015443936109479886,0.005187392197420412,0.29772061802382804,0.7662164421688032,1.0
roe,OINDEX,394,0.013897736625318038,0.007688366198962544,1.8076319813165738,0.07218148744288665,0.8265
roe,TRINDEX,394,0.009814883767756674,0.006747760068562229,1.4545395313452467,0.14738019047827286,0.9465
