Outcome,Category,N,beta,se,t,p_raw
idio_vol,TRINDEX,395,-0.0009132262643152846,0.0002924398297588248,-3.1227834630748568,0.002059960659721746
total_vol,TRINDEX,395,-0.0009493285496334383,0.0003124102857887317,-3.0387237322762934,0.0026963670811164047
ff5_alpha,BINDEX,395,0.09216114825268187,0.03226595361651649,2.856297053793131,0.004743468746824787
idio_vol,OINDEX,395,-0.0007405468377472562,0.00029004864002511705,-2.5531815549389503,0.011427508428498203
total_vol,OINDEX,395,-0.0006223988165466406,0.0002959996960602384,-2.1027008636521614,0.036755580452047645
ff5_alpha,DINDEX,395,-0.06666621927319993,0.03257572084540527,-2.0465002014714604,0.042028679699957695
ff5_alpha,CINDEX,413,-0.05094027122326697,0.02543125787257621,-2.00305747668889,0.04648177767248829
downside_vol,OINDEX,395,-0.0003185117955261346,0.0001679391703014763,-1.896590265120148,0.05933790410992964
mar_pct,BINDEX,395,0.047269903210709806,0.025321571513972102,1.866783946826796,0.06341003596586345
roe,OINDEX,394,0.01389773662531809,0.0076883661989624735,1.807631981316597,0.07218148744288304
downside_vol,TRINDEX,395,-0.0003379498190946552,0.00018960001596898032,-1.782435604593756,0.07621052786328009
roe,CINDEX,412,-0.008187035119695254,0.005392598697302013,-1.5181984752159166,0.1304975563799066
downside_vol,DINDEX,395,-0.0003026724417616282,0.0002034739118901053,-1.4875245624859232,0.13846710984982996
roe,AINDEX,394,-0.011302193993950663,0.007717392009436397,-1.4645095104837191,0.1446407286502153
roe,TRINDEX,394,0.009814883767756681,0.006747760068562187,1.4545395313452567,0.1473801904782702
total_vol,CINDEX,413,-0.00038870213855200845,0.00026884117373116354,-1.445843034968683,0.1497408872851465
capm_alpha,BINDEX,395,0.03280180843289607,0.022954575148203153,1.428987825787041,0.1545834545919159
roe,BINDEX,394,0.01078070067860004,0.00792539213021522,1.3602734730940411,0.17529003619835704
idio_vol,CINDEX,413,-0.00034305814761291444,0.0002524955748143592,-1.3586699405133695,0.17573705726396577
ff5_alpha,TRINDEX,395,0.03172655382386613,0.024461827835479823,1.2969821403881125,0.19614664377080734
mar_pct,AINDEX,395,0.025527421477007706,0.01985441653416596,1.2857301262456895,0.2000389216866356
downside_vol,BINDEX,395,-0.00023944065750292336,0.00018878897488670726,-1.2682978846969868,0.20618080526961446
ff5_alpha,AINDEX,395,-0.03395744610071813,0.027725938791850955,-1.2247536992579202,0.22212313079354
capm_alpha,AINDEX,395,0.021133751843506726,0.01819145023264862,1.1617409042835676,0.24673923607663323
idio_vol,BINDEX,395,-0.00034014703209491956,0.0003294377941352341,-1.0325076179792818,0.30309388208240445
roe,DINDEX,394,-0.007240218230280752,0.007390065785082826,-0.9797231094878007,0.32841837391326817
mar_pct,DINDEX,395,-0.023492878170442898,0.02437054788950751,-0.9639864592686288,0.33622857302687953
capm_alpha,DINDEX,395,-0.02278773139558505,0.02386191008925909,-0.954983541147548,0.3407504909914439
mar_pct,CINDEX,413,-0.023153409567737655,0.024253478354925848,-0.9546428445813105,0.3408772286798958
capm_alpha,CINDEX,413,-0.020642965269246145,0.02287492128357771,-0.9024278166179343,0.3678836086372559
capm_alpha,TRINDEX,395,-0.016622843885397472,0.02110724087154347,-0.7875422461212442,0.4319062393704608
ff5_alpha,OINDEX,395,-0.02000854411254736,0.026436045435993864,-0.7568660055828482,0.4500298181720061
mar_pct,TRINDEX,395,-0.01597167596984762,0.02204320500974141,-0.7245623294248437,0.4695758980554668
mar_pct,OINDEX,395,-0.015240484413986021,0.02570282770521314,-0.5929497170031176,0.5538914445667683
total_vol,BINDEX,395,-0.00018883308406941323,0.0003392113733661252,-0.5566826436140679,0.5783729242525141
capm_alpha,OINDEX,395,-0.01257421363041026,0.023788598422225266,-0.5285815249486239,0.5976877661954746
total_vol,DINDEX,395,-0.00015629504721405437,0.0003235203147743191,-0.4831073662965569,0.6295532609868493
downside_vol,AINDEX,395,-5.4399800885506085e-05,0.00015662940795777797,-0.34731537068805396,0.7287232996655141
downside_vol,CINDEX,413,-5.1985304259869196e-05,0.00015547115472946675,-0.33437266450055075,0.7384385409348967
idio_vol,DINDEX,395,-8.380448521994478e-05,0.0003161734475037592,-0.26505858060376297,0.791240073031215
total_vol,AINDEX,395,3.065358652256636e-05,0.00025837260480210064,0.11864100896472883,0.905680051981081
idio_vol,AINDEX,395,-9.971723161098715e-06,0.00025459901943437847,-0.03916638478518914,0.9687971966257845
