Outcome,Category,beta,se,t,p_raw,N
mar_pct,AINDEX,0.034644921368329494,0.021309734398122945,1.6257791261528427,0.1055872172526059,395
mar_pct,BINDEX,0.053878126771881904,0.025266910534348777,2.1323591065333445,0.0342092428154297,395
mar_pct,CINDEX,-0.023153409584240243,0.024253478121526496,-0.9546428544485802,0.3408772237003207,413
mar_pct,OINDEX,-0.022862608311747187,0.02582189251265549,-0.885396308599072,0.3770169126605887,395
mar_pct,TRINDEX,-0.02236506122374477,0.022103517551097983,-1.0118326719736876,0.31285293884530263,395
capm_alpha,AINDEX,0.027427360113741424,0.019398068343551338,1.4139222332856318,0.15895512624581404,395
capm_alpha,BINDEX,0.039818749861317435,0.023071971306300912,1.7258494877914055,0.08593453070882626,395
capm_alpha,CINDEX,-0.02064297309748956,0.022874927023350086,-0.9024279324002997,0.36788354730233863,413
capm_alpha,OINDEX,-0.018822896503060457,0.023662779678477772,-0.7954643012705993,0.4272960358622053,395
capm_alpha,TRINDEX,-0.024400595851340644,0.02108413683387636,-1.1572964093144973,0.24854549752203905,395
ff5_alpha,AINDEX,-0.022989538261736473,0.02731759875208165,-0.841565119627677,0.40104667958996465,395
ff5_alpha,BINDEX,0.07999094918364473,0.031344813790998044,2.551967598755282,0.011466100015681702,395
ff5_alpha,CINDEX,-0.0509402464631605,0.02543125909507942,-2.003056406790991,0.04648189346925336,413
ff5_alpha,OINDEX,-0.01885599780759559,0.02637282506345437,-0.714978306731535,0.47546461832616527,395
ff5_alpha,TRINDEX,0.02263943148812414,0.024051200683100633,0.9413015086615422,0.3476973803376351,395
total_vol,AINDEX,-3.70868106586756e-05,0.00028538966553616176,-0.129951484364371,0.8967367346463377,395
total_vol,BINDEX,-3.098902463642758e-05,0.0003181067409503518,-0.0974170636681483,0.9224937345385311,395
total_vol,CINDEX,-0.00038870233251051423,0.000268841161406886,-1.4458438227106922,0.1497406665080561,413
total_vol,OINDEX,-0.0007450467972077841,0.0002894723897355295,-2.573809536337752,0.0107892693939053,395
total_vol,TRINDEX,-0.0007590509710707066,0.0003538015990736559,-2.145414189924801,0.0331374480150465,395
idio_vol,AINDEX,-0.0001093488962790797,0.00028232940650151534,-0.3873096240100402,0.6989429973586456,395
idio_vol,BINDEX,-0.00022192389548003996,0.00031193762576818426,-0.7114367653902777,0.4776509357576556,395
idio_vol,CINDEX,-0.0003430582859579518,0.0002524955695308635,-1.3586705168544293,0.1757368748365,413
idio_vol,OINDEX,-0.0008510793328958317,0.0002852336795572407,-2.983796773988736,0.003205223854425222,395
idio_vol,TRINDEX,-0.0007883528866461723,0.00033037857407373266,-2.38621069437218,0.017965186916647474,395
downside_vol,AINDEX,-0.00016104321711029365,0.00016913345136797427,-0.9521665631946507,0.3421734063021099,395
downside_vol,BINDEX,-0.00024408721175392457,0.0001882175527046505,-1.2968355408219778,0.1961969931872323,395
downside_vol,CINDEX,-5.198555027236847e-05,0.00015547114037694725,-0.3343742777362217,0.7384373255290975,413
downside_vol,OINDEX,-0.0003563619678466778,0.00016592211861713127,-2.147766499227209,0.03294743898919751,395
downside_vol,TRINDEX,-0.00030189716356282835,0.00019899240327757618,-1.517129089303522,0.13082905939461156,395
roe,AINDEX,-0.002721481582488622,0.008114071405862433,-0.3354027154015857,0.7376764195521925,394
roe,BINDEX,0.011156066348302924,0.007039318162628819,1.5848220084055291,0.1146026127806365,394
roe,CINDEX,-0.008187035119695414,0.0053925986973019655,-1.5181984752159596,0.13049755637989577,412
roe,OINDEX,0.012541235548431697,0.00757453934612626,1.6557093409047356,0.099364712922299,394
roe,TRINDEX,0.007430189955852119,0.006722431210620049,1.105283151743369,0.2703781545205314,394
