Outcome,Category,N,beta,se,t,p_raw,p_rw
mar_pct,AINDEX,395,0.02552742777006859,0.01985441741128958,1.2857303864052558,0.200038831040417,0.9425
mar_pct,BINDEX,395,0.04726991529976278,0.02532157278731151,1.866784330373406,0.06340998210531466,0.803
mar_pct,CINDEX,411,-0.023515797990515556,0.024147794896985937,-0.9738279661076107,0.3312896504994739,0.9675
mar_pct,OINDEX,395,-0.015240483642207807,0.02570282844339777,-0.5929496699466396,0.5538914759969531,0.985
mar_pct,TRINDEX,395,-0.015971677794938556,0.02204320601664985,-0.72456237912374,0.469575867624618,0.985
capm_alpha,AINDEX,395,0.021133745848512357,0.018191452087756396,1.1617404562627656,0.2467394176859705,0.9425
capm_alpha,BINDEX,395,0.03280182780127743,0.022954578693079528,1.4289884488782496,0.15458327570851838,0.9425
capm_alpha,CINDEX,411,-0.02088828993143056,0.02280858078833059,-0.9158084023411708,0.3608434217776946,0.9765
capm_alpha,OINDEX,395,-0.012574215181894208,0.023788602207447773,-0.5285815060608081,0.5976877792764286,0.988
capm_alpha,TRINDEX,395,-0.01662285550141857,0.021107243464137115,-0.7875426997211702,0.43190597457148383,0.9845
ff5_alpha,AINDEX,395,-0.03395741642790833,0.027725934995046265,-1.2247527967578165,0.2221234701861699,0.9425
ff5_alpha,BINDEX,395,0.09216114788051945,0.03226595676390959,2.856296763640506,0.004743472907798299,0.217
ff5_alpha,CINDEX,411,-0.051385537194691765,0.025606910568194575,-2.006705848323456,0.04609472049540183,0.737
ff5_alpha,OINDEX,395,-0.02000855559513919,0.026436044354781606,-0.7568664708916693,0.4500295400129386,0.985
ff5_alpha,TRINDEX,395,0.03172657858465406,0.024461830413674623,1.296983015911937,0.19614634310202894,0.9425
total_vol,AINDEX,395,3.0653915015928145e-05,0.00025837257927516287,0.11864229208039213,0.9056790367014789,0.988
total_vol,BINDEX,395,-0.00018883302065113625,0.00033921134126721605,-0.5566825093338543,0.5783730158373968,0.988
total_vol,CINDEX,411,-0.00039918244930055427,0.00027179012590530896,-1.4687157893279335,0.14344269470401894,0.9425
total_vol,OINDEX,395,-0.0006223986244730201,0.00029599971485338186,-2.1027000812528285,0.03675564971535606,0.677
total_vol,TRINDEX,395,-0.0009493285698109092,0.00031241026719460964,-3.038723977722359,0.0026963649836425647,0.153
idio_vol,AINDEX,395,-9.97144697307437e-06,0.00025459901228790555,-0.03916530108843652,0.9687980595342056,0.988
idio_vol,BINDEX,395,-0.00034014699310090847,0.0003294377766393499,-1.0325075544486886,0.3030939117535969,0.9595
idio_vol,CINDEX,411,-0.00034950847435128243,0.00025440118012127143,-1.3738476927845773,0.17098933733701768,0.9425
idio_vol,OINDEX,395,-0.0007405466717667553,0.0002900486545606966,-2.5531808547375485,0.011427530654330794,0.3635
idio_vol,TRINDEX,395,-0.0009132263775034563,0.0002924397986735276,-3.12278418206326,0.00205995586683345,0.127
downside_vol,AINDEX,395,-5.440676343531041e-05,0.00015663072563235148,-0.3473569008613014,0.728692151390409,0.988
downside_vol,BINDEX,395,-0.00023945155086772875,0.0001887900495609196,-1.2683483659474408,0.20616282221015647,0.9425
downside_vol,CINDEX,411,-4.903106997758587e-05,0.00015738425422353363,-0.3115373276665072,0.7557087641952716,0.988
downside_vol,OINDEX,395,-0.00031850915467361996,0.00016793943216895517,-1.8965715827429046,0.059340386338078796,0.803
downside_vol,TRINDEX,395,-0.0003379618741215148,0.00018960169367331246,-1.7824834133804202,0.07620271145029758,0.846
roe,AINDEX,394,-0.011302193993950682,0.007717392009436598,-1.4645095104836834,0.14464072865022518,0.9425
roe,BINDEX,394,0.010780700678600092,0.007925392130215151,1.3602734730940598,0.17529003619835112,0.9425
roe,CINDEX,410,-0.008280494792548552,0.00539957964843229,-1.5335443370953339,0.12668361350978152,0.935
roe,OINDEX,394,0.013897736625318038,0.007688366198962544,1.8076319813165738,0.07218148744288665,0.8405
roe,TRINDEX,394,0.009814883767756674,0.006747760068562229,1.4545395313452467,0.14738019047827286,0.9425
