Outcome,AR_var,N,AINDEX_beta,AINDEX_p,BINDEX_beta,BINDEX_p,CINDEX_beta,CINDEX_p,DINDEX_beta,DINDEX_p,OINDEX_beta,OINDEX_p,TRINDEX_beta,TRINDEX_p,audit_fees_inr_crore_beta,audit_fees_inr_crore_p,board_size_beta,board_size_p,board_independence_ratio_beta,board_independence_ratio_p,board_meeting_count_beta,board_meeting_count_p
mar_pct,audit_fees_inr_crore,235,-0.013096005703348127,0.7248433600508273,0.032911800164717155,0.41033337566778905,-0.05100252031978735,0.23239214166230926,-0.02144802654667228,0.6322551414242202,-0.0656127555809318,0.1722261606877158,0.002727544741248046,0.951927705032972,-5.048173757057935e-08,0.001331258068368774,,,,,,
capm_alpha,audit_fees_inr_crore,235,-0.007884227589305735,0.816334263259991,0.020296337142066207,0.5436366289835974,-0.03406067867144554,0.36636786680108824,-0.012889506934766062,0.7395832775504932,-0.050873867974711155,0.21215048473583895,-0.002553408127526436,0.9475273850624552,-3.788613924956465e-08,0.004413026532474875,,,,,,
ff5_alpha,audit_fees_inr_crore,235,-0.11189278195376991,0.04905291456122297,0.15139586982432113,0.004181869948498282,-0.00755411604181228,0.854809839130912,-0.07231211560194137,0.196892149173584,-0.02604049456733166,0.6166979237313893,0.008446784860507643,0.8590150226696321,-4.125525349836186e-08,0.014710078016203604,,,,,,
total_vol,audit_fees_inr_crore,235,-0.00012034041396312145,0.7775022372354126,-0.00030940753291994454,0.47898960337319163,-0.0005682407665193739,0.11312440802521052,-0.00028529451172679517,0.5028256847025416,-0.0008674705087687546,0.07954359062974457,-0.0008536234298632112,0.07478807401001955,-5.1428409235168826e-12,0.9723619867883951,,,,,,
idio_vol,audit_fees_inr_crore,235,-0.00010838330087048979,0.8097356271054627,-0.0005670750747273275,0.18634444696914867,-0.00047744022298727495,0.15851833466479368,-0.00014523336721351752,0.7272887618571995,-0.0010511106077006585,0.035165885914088375,-0.0008634867096846232,0.06943156357903106,2.9539341285790363e-10,0.03424475253118542,,,,,,
downside_vol,audit_fees_inr_crore,235,-6.182532325930436e-05,0.8168293255413234,-0.00015956460308589105,0.5225960294264179,-0.00011584470881030485,0.5965387385988917,-4.675263387918161e-06,0.9849901986506318,-0.0003647965834671366,0.19634319511889356,-0.000405372827372876,0.1712571321845706,5.4891191188122475e-11,0.47687382373970666,,,,,,
roe,audit_fees_inr_crore,235,0.005237918351500773,0.6720666410457973,0.010179772405232579,0.37133279412014064,-0.0027323144194670674,0.7512301498063794,-0.01674252477761741,0.17333965912506227,0.01225795712594353,0.321469524736013,0.015624705534024676,0.11906862132363528,3.8880236318334354e-10,0.9129351580933442,,,,,,
mar_pct,board_size,117,0.051186924594684755,0.7368569001431279,0.0383806299258683,0.7257267028073714,0.05892777948903678,0.48942808151749295,-0.1719568845761426,0.05080898849064296,-0.0024326217886846157,0.9825141025079378,-0.1740436513285899,0.1449829376510377,,,0.03897777692148906,0.35479907185810355,,,,
capm_alpha,board_size,117,0.04640663008299663,0.6765056359378194,0.015760056620696038,0.845261315576098,0.04739284121696982,0.4332944498907413,-0.14674612901448728,0.07386172875469797,-0.015504168913309248,0.8543104945535284,-0.16496491944830644,0.08247264379443354,,,0.02598353004581062,0.4007195911333772,,,,
ff5_alpha,board_size,117,0.1280191896659037,0.33885455169586465,0.021197055904838422,0.8848573054191646,0.048525504876717855,0.7221701713443602,-0.1316851616406321,0.27555901377343195,-0.11424784485862807,0.3584220726890587,-0.24124881098033032,0.07804135185372409,,,0.02801400630796335,0.5621661985628065,,,,
total_vol,board_size,117,-0.0006811592193761298,0.5341623213682246,-0.0007109644224172353,0.539373603271817,0.0003554829342363425,0.640831170862548,-0.0015145612559762382,0.09146417932955997,0.0005029652633526412,0.5906750315781717,0.0005243458051470963,0.5639099967615726,,,-0.00027502670171280027,0.29978337403663324,,,,
idio_vol,board_size,117,-0.0005207457908892138,0.5724894892964849,-0.0007953139497987595,0.4316696002826893,0.0002426817455010477,0.7059943977606677,-0.0013738000079723354,0.08476316770141978,0.0006151915727268771,0.4209526083721048,0.00046695402696106186,0.570079993414893,,,-0.00030896926824856776,0.2161769087844989,,,,
downside_vol,board_size,117,-0.0002847392241900237,0.6468755772075516,-0.0004654047130296476,0.34429654387492914,0.00046163215895592775,0.2855778917781107,-0.0006402087967129537,0.21071367125217635,0.00029135536181184777,0.5728293781262899,0.00025998206881184,0.5886930059786722,,,-0.0001383824713097489,0.2830017908812594,,,,
roe,board_size,117,0.012545483404143203,0.6931044773390531,-0.0019144666640815856,0.9123621719429158,-0.017296458606009372,0.15690200820211989,-0.026613067773779895,0.17170177534286787,-0.034547562059022346,0.3280407527804694,-0.004646186548810596,0.8522751368764453,,,-0.002677196624593462,0.6649015475585431,,,,
mar_pct,board_independence_ratio,117,0.05903337226719346,0.6936599973964919,0.049447002134535185,0.6665295128059219,0.03319564329039456,0.6550909400054116,-0.14205362720583598,0.06671224348163833,0.003992553007234116,0.9717982586669923,-0.15002824213812627,0.23599311865771755,,,,,0.7428547889732187,0.5362267869251267,,
