Outcome,AR_var,N,AINDEX_beta,AINDEX_p,BINDEX_beta,BINDEX_p,CINDEX_beta,CINDEX_p,DINDEX_beta,DINDEX_p,OINDEX_beta,OINDEX_p,TRINDEX_beta,TRINDEX_p,audit_fees_inr_crore_beta,audit_fees_inr_crore_p,n_director_changes_beta,n_director_changes_p,n_rating_changes_beta,n_rating_changes_p,auditor_change_any_beta,auditor_change_any_p,board_size_beta,board_size_p,board_independence_ratio_beta,board_independence_ratio_p,board_meeting_count_beta,board_meeting_count_p
mar_pct,audit_fees_inr_crore,93,-0.019506338188513193,0.8601595663409123,0.015208655152429309,0.9274403179028177,-0.20853713104934926,0.16520546374774508,-0.01618241332425666,0.8969944794670313,-0.2000915602056989,0.22178264283157267,-0.013162787477262834,0.939089389031694,-1.033633867524404e-05,0.009299831428560458,0.015068428071857062,0.48471170718872525,-0.002156013362962975,0.9772886332429384,-0.026703070126694643,0.941111807444076,,,,,,
capm_alpha,audit_fees_inr_crore,93,-0.016862797159778276,0.8620266054943031,-0.00291654072963281,0.9841978500996325,-0.1778442605096689,0.16707554110638465,-0.004837967606014859,0.96375401898307,-0.1517585950073001,0.2740286033367754,-0.019582842127544114,0.8937386624849848,-1.1018460298973316e-05,0.000558577006697214,0.008643924554625298,0.6414382211486414,4.6996727156632374e-05,0.9993993541361968,0.04679497392809179,0.8696788210322888,,,,,,
ff5_alpha,audit_fees_inr_crore,93,-0.13682321818826743,0.2995919534148834,-0.13575414806121333,0.44530134070689475,-0.0888244468599945,0.4828659141525796,0.043336751397886196,0.7342320292656541,-0.062035005299186353,0.6512677802898637,-0.078596470804141,0.573840329665787,4.8837912043276395e-06,0.06147584916811527,0.00496916101470359,0.7989962086935185,-0.03723346812646298,0.6902946570332447,0.1568514226213474,0.5398141437141932,,,,,,
total_vol,audit_fees_inr_crore,93,-7.798815216516945e-05,0.9302095777025934,-0.0004989664313045828,0.6202494337874391,-0.0003150278483184693,0.7461220090238383,-0.0009467073380912827,0.41696363954295257,-0.0014564821653656555,0.20532341555520145,-0.0002661731629390134,0.817295030286284,-3.376304741723316e-08,0.017607240627348315,5.492479596416935e-05,0.6551840581511845,-0.00011559164013429881,0.8703089326000188,-0.001189759966991458,0.4461655958421271,,,,,,
idio_vol,audit_fees_inr_crore,93,7.288159010502965e-06,0.9926054032600873,-0.000420437748957227,0.6565247957799408,-7.114108486342613e-05,0.9426757804782744,-0.0006040412631769145,0.5514273192025968,-0.001179302850145403,0.25045647571609836,-0.00031475945089790296,0.7658747960480338,-1.7230478488199516e-08,0.22404901709821456,-6.034583144361883e-05,0.6059179792113198,-0.00023836910920921325,0.7754942550781612,-0.0013015612322046456,0.3452436413498867,,,,,,
downside_vol,audit_fees_inr_crore,93,-0.00021538766562761202,0.641067328550289,-0.0004581206200963317,0.33577814907032544,4.6038825929744765e-05,0.924544620201393,0.0002978319601958028,0.521383865081537,-0.0004587741125074359,0.35651158843896913,9.906399990726741e-05,0.8524285875950416,6.009728725283645e-09,0.4857147718164213,-7.969609946200085e-05,0.25607022119353695,-0.00046431090138350815,0.3124713887434215,-3.769201862945394e-06,0.9960952775915924,,,,,,
roe,audit_fees_inr_crore,93,0.018376554586544594,0.39246273659313924,0.00756334393556233,0.7486300719368568,0.029060412341640515,0.205930952712537,-0.02176652295143896,0.5024621119818369,0.00034601341314130404,0.9890878917767543,0.005174037871085064,0.812332254912392,-2.4754707650193107e-06,4.9133510661266027e-08,-0.0021411630262751684,0.3500618478879778,-0.01878282033177231,0.1122381491255363,0.019268354550836815,0.5509287256111988,,,,,,
mar_pct,board_size,54,0.052172091326728946,,0.3575760284950481,,0.1936855274509724,,-0.2649041109540468,,0.06179436016457662,,-0.16432059057894505,,,,0.044605178542253335,,-0.06877740284790902,,0.1312488738196253,,0.1293844692680112,,,,,
capm_alpha,board_size,54,-0.05689977425783065,,0.2700370976101979,,0.19343147417994877,,-0.23010763682150073,,0.048703059195177686,,-0.11665674220057089,,,,0.04006539273256389,,-0.05705818408331672,,0.09859452977836278,,0.1170236463505059,,,,,
ff5_alpha,board_size,54,0.004934660889003044,,0.01865837422222294,,-0.3359689845676307,,-0.11829027182252644,,-0.13746689158595896,,0.1319571510562586,,,,-0.06495967843759025,,-0.29342270968551737,,0.7850932701243989,,0.1275470302760235,,,,,
