Category,Outcome,t,p_rw,sig_rw
BINDEX,ff5_alpha,3.111611969855874,0.109,
TRINDEX,idio_vol,-3.0484282435515055,0.1185,
TRINDEX,total_vol,-3.008504996668028,0.129,
OINDEX,idio_vol,-2.4210577173033316,0.4645,
CINDEX,ff5_alpha,-2.147658566370373,0.6865,
DINDEX,ff5_alpha,-1.936745970419833,0.8255,
OINDEX,total_vol,-1.9008616641115077,0.834,
OINDEX,roe,1.9008789752459656,0.834,
OINDEX,downside_vol,-1.844831095932072,0.8535,
TRINDEX,downside_vol,-1.7027080086429784,0.909,
BINDEX,mar_pct,1.413713878997077,0.981,
CINDEX,total_vol,-1.4158372537469177,0.981,
DINDEX,downside_vol,-1.4009778380112856,0.982,
CINDEX,idio_vol,-1.385785554183165,0.982,
TRINDEX,ff5_alpha,1.261691960209827,0.9825,
DINDEX,mar_pct,-1.1348882261230162,0.9825,
AINDEX,mar_pct,1.2852948118829002,0.9825,
CINDEX,roe,-1.3661461422558372,0.9825,
TRINDEX,roe,1.3694594615874203,0.9825,
AINDEX,capm_alpha,1.2169386219125238,0.9825,
BINDEX,roe,1.3652456198055236,0.9825,
BINDEX,downside_vol,-1.2414871367341944,0.9825,
BINDEX,idio_vol,-1.1717697398489102,0.9825,
AINDEX,ff5_alpha,-1.1492444946229363,0.9825,
AINDEX,roe,-1.3557081241717879,0.9825,
DINDEX,capm_alpha,-1.0703461654705724,0.9845,
BINDEX,capm_alpha,1.0715909083960757,0.9845,
TRINDEX,capm_alpha,-0.9847373405282486,0.989,
TRINDEX,mar_pct,-0.972055770479831,0.99,
OINDEX,ff5_alpha,-0.8448230888660601,0.99,
CINDEX,mar_pct,-0.926062490703596,0.99,
DINDEX,roe,-0.9400261285738711,0.99,
BINDEX,total_vol,-0.7889282126900641,0.99,
DINDEX,total_vol,-0.5645768873235316,0.99,
CINDEX,capm_alpha,-0.8706741686351743,0.99,
OINDEX,mar_pct,-0.3844635173662366,0.999,
AINDEX,downside_vol,-0.35872767114946474,0.999,
AINDEX,idio_vol,0.028157318568969393,0.999,
DINDEX,idio_vol,-0.32383226476046656,0.999,
AINDEX,total_vol,0.15287305094505235,0.999,
CINDEX,downside_vol,-0.3242442450208806,0.999,
OINDEX,capm_alpha,-0.3766103178609593,0.999,
