Category,Outcome,t,p_rw,sig_rw
TRINDEX,idio_vol,-3.122784182063823,0.1125,
TRINDEX,total_vol,-3.0387239777236634,0.134,
OINDEX,idio_vol,-2.553180854740379,0.3515,
AINDEX_augmented,ff5_alpha,-2.0961829136657584,0.686,
OINDEX,total_vol,-2.1027000812533503,0.686,
BINDEX_augmented,ff5_alpha,1.8917468272967486,0.823,
OINDEX,downside_vol,-1.8965715827442022,0.823,
OINDEX,roe,1.8076319813165718,0.836,
TRINDEX,downside_vol,-1.7824834133811494,0.8405,
AINDEX_augmented,downside_vol,-1.6354322920548388,0.892,
TRINDEX,roe,1.4545395313453267,0.9535,
TRINDEX,ff5_alpha,1.2969830159117128,0.9795,
BINDEX_augmented,roe,1.2975519205219725,0.9795,
CINDEX_augmented,ff5_alpha,-1.1553404229859892,0.9885,
AINDEX_augmented,idio_vol,-0.8952955589752063,0.9975,
AINDEX_augmented,capm_alpha,-0.8583695999901816,0.9985,
TRINDEX,capm_alpha,-0.787542699721736,0.999,
OINDEX,ff5_alpha,-0.7568664708920516,0.999,
AINDEX_augmented,total_vol,-0.8061899150040678,0.999,
TRINDEX,mar_pct,-0.7245623791243372,1.0,
OINDEX,capm_alpha,-0.5285815060615789,1.0,
AINDEX_augmented,mar_pct,-0.6027490355617248,1.0,
CINDEX_augmented,roe,0.2937563692182516,1.0,
CINDEX_augmented,downside_vol,-0.16527434419956472,1.0,
CINDEX_augmented,idio_vol,-0.0031570508561050174,1.0,
CINDEX_augmented,capm_alpha,-0.018223413687662483,1.0,
CINDEX_augmented,mar_pct,-0.34163027509301025,1.0,
BINDEX_augmented,downside_vol,-0.38054426742395936,1.0,
BINDEX_augmented,idio_vol,-0.719440568287187,1.0,
BINDEX_augmented,total_vol,-0.6848628573727311,1.0,
BINDEX_augmented,capm_alpha,0.3935629577956772,1.0,
BINDEX_augmented,mar_pct,0.47597874001207124,1.0,
AINDEX_augmented,roe,-0.3300004122547478,1.0,
OINDEX,mar_pct,-0.5929496699474482,1.0,
CINDEX_augmented,total_vol,-0.5294075014896268,1.0,
