Variable,Outcome,t,p_rw,sig_rw
audit_fees_inr_crore,idio_vol,4.733577780326899,0.432,
audit_fees_inr_crore,mar_pct,-4.334818116656313,0.432,
audit_fees_inr_crore,ff5_alpha,-3.785445832663084,0.4745,
audit_fees_inr_crore,capm_alpha,-4.025610810892225,0.4745,
BINDEX,ff5_alpha,3.1145801067612955,0.5085,
TRINDEX,idio_vol,-3.071063126455489,0.519,
TRINDEX,total_vol,-3.0308266717283145,0.528,
audit_fees_inr_crore,roe,-2.5606752957145855,0.7395,
OINDEX,idio_vol,-2.4212641172496636,0.7395,
CINDEX,ff5_alpha,-2.151807224241164,0.855,
audit_fees_inr_crore,downside_vol,2.10931908346653,0.869,
board_independence_ratio,idio_vol,2.0507334387726397,0.87,
board_independence_ratio,total_vol,1.9430341054653042,0.9205,
DINDEX,ff5_alpha,-1.937664045799209,0.922,
OINDEX,total_vol,-1.9014195530016382,0.927,
OINDEX,roe,1.9015256593046297,0.927,
OINDEX,downside_vol,-1.8452888661750109,0.9395,
TRINDEX,downside_vol,-1.7117354492991197,0.9635,
board_independence_ratio,downside_vol,1.6502773061479956,0.9765,
DINDEX,downside_vol,-1.403621314793312,0.9965,
CINDEX,total_vol,-1.4148638140188405,0.9965,
BINDEX,mar_pct,1.4133448818682952,0.9965,
CINDEX,roe,-1.385488018347547,0.997,
CINDEX,idio_vol,-1.3784651600311537,0.9975,
BINDEX,roe,1.367171048066645,0.9975,
TRINDEX,roe,1.3702629945155256,0.9975,
board_size,downside_vol,-1.3417919888497485,0.9975,
AINDEX,roe,-1.3522082344560113,0.9975,
audit_fees_inr_crore,total_vol,1.2822097296064245,0.998,
board_size,idio_vol,-0.9784965534772111,0.998,
board_independence_ratio,mar_pct,0.8350063557859755,0.998,
TRINDEX,ff5_alpha,1.268263811790878,0.998,
board_independence_ratio,ff5_alpha,-1.2020203404589975,0.998,
board_independence_ratio,roe,-1.2623508787493694,0.998,
TRINDEX,capm_alpha,-0.9898518444705559,0.998,
AINDEX,mar_pct,1.2560807582835205,0.998,
CINDEX,mar_pct,-0.9218043351847893,0.998,
OINDEX,ff5_alpha,-0.8543183689024441,0.998,
BINDEX,capm_alpha,1.0718646877804614,0.998,
DINDEX,roe,-0.9404664234844675,0.998,
DINDEX,capm_alpha,-1.0715236354862563,0.998,
DINDEX,mar_pct,-1.1396434032268583,0.998,
BINDEX,idio_vol,-1.1788898204868778,0.998,
CINDEX,capm_alpha,-0.8769821952585322,0.998,
AINDEX,ff5_alpha,-1.150898961850752,0.998,
BINDEX,downside_vol,-1.2469886420534781,0.998,
TRINDEX,mar_pct,-0.9912281369891986,0.998,
AINDEX,capm_alpha,1.2097050319320655,0.998,
board_independence_ratio,capm_alpha,0.6315135365139426,0.9985,
board_size,roe,-0.7586785771950261,0.9985,
BINDEX,total_vol,-0.7960599262859264,0.9985,
board_size,total_vol,-0.7784124355530952,0.9985,
board_size,mar_pct,0.5933621209810119,0.9985,
board_meeting_count,capm_alpha,-0.7700242147367982,0.9985,
DINDEX,total_vol,-0.566761893046291,0.9985,
board_meeting_count,ff5_alpha,-0.6880410015359355,0.9985,
board_meeting_count,idio_vol,-0.7163409795472259,0.9985,
board_meeting_count,total_vol,-0.011682855395482054,1.0,
board_meeting_count,mar_pct,-0.23802870243092086,1.0,
AINDEX,total_vol,0.12243926221671335,1.0,
board_meeting_count,downside_vol,-0.32679785232490227,1.0,
AINDEX,downside_vol,-0.3750423316951214,1.0,
board_size,ff5_alpha,-0.09048938170230658,1.0,
board_size,capm_alpha,0.3198942824904885,1.0,
CINDEX,downside_vol,-0.2881401662139799,1.0,
DINDEX,idio_vol,-0.32455791989546834,1.0,
OINDEX,mar_pct,-0.3819885453705991,1.0,
OINDEX,capm_alpha,-0.37661540547058486,1.0,
AINDEX,idio_vol,-0.002141507648175253,1.0,
board_meeting_count,roe,-0.33804310165187657,1.0,
