Variable,Outcome,t,p_rw,sig_rw
audit_fees_inr_crore,ff5_alpha,-2.1302491377843342,0.9935,
board_meeting_count,ff5_alpha,-0.23064505104765332,1.0,
board_meeting_count,capm_alpha,-0.5173578672627002,1.0,
board_meeting_count,mar_pct,-0.48181427194977805,1.0,
board_independence_ratio,roe,-0.5500739665692335,1.0,
board_independence_ratio,downside_vol,0.4451632596616204,1.0,
board_independence_ratio,idio_vol,0.7161524914506905,1.0,
board_independence_ratio,total_vol,0.6701379045124339,1.0,
board_independence_ratio,ff5_alpha,-0.35966550764819266,1.0,
board_independence_ratio,capm_alpha,0.5894496417244666,1.0,
board_independence_ratio,mar_pct,0.5297448199772427,1.0,
board_size,roe,-0.0751396939893819,1.0,
board_size,downside_vol,-0.1132129446561805,1.0,
board_size,idio_vol,0.6936166773452811,1.0,
board_size,total_vol,0.7684609428866125,1.0,
board_size,ff5_alpha,0.37731255478890563,1.0,
board_size,capm_alpha,0.5824304643728561,1.0,
board_size,mar_pct,0.5546774528303952,1.0,
audit_fees_inr_crore,roe,0.09486702000712609,1.0,
audit_fees_inr_crore,downside_vol,1.6228110762221446,1.0,
board_meeting_count,total_vol,0.21651122679945936,1.0,
audit_fees_inr_crore,idio_vol,1.4644564002933373,1.0,
AINDEX,mar_pct,0.9539824155102155,1.0,
board_meeting_count,roe,0.09596068303506564,1.0,
auditor_change_any,idio_vol,-0.5234341077363057,1.0,
auditor_change_any,total_vol,-0.40404194874528415,1.0,
auditor_change_any,ff5_alpha,1.8183330914638551,1.0,
auditor_change_any,capm_alpha,1.7614481516977152,1.0,
auditor_change_any,mar_pct,1.125717313305186,1.0,
n_rating_changes,roe,-0.4035597370645773,1.0,
n_rating_changes,downside_vol,-1.0575406636970595,1.0,
n_rating_changes,idio_vol,-0.18124291880849974,1.0,
n_rating_changes,total_vol,0.08486238607367587,1.0,
n_rating_changes,ff5_alpha,-0.09567257137059172,1.0,
n_rating_changes,capm_alpha,-0.5096624223947747,1.0,
n_rating_changes,mar_pct,-0.7419453957077212,1.0,
n_director_changes,roe,0.26286759122270115,1.0,
n_director_changes,downside_vol,-0.9746874888088815,1.0,
n_director_changes,idio_vol,-0.5199336407450379,1.0,
n_director_changes,total_vol,0.2577305568860739,1.0,
n_director_changes,ff5_alpha,0.9338617405227632,1.0,
n_director_changes,capm_alpha,0.3852723454143169,1.0,
n_director_changes,mar_pct,0.85590882027988,1.0,
board_meeting_count,downside_vol,0.3667249849264792,1.0,
board_meeting_count,idio_vol,0.43657893652460367,1.0,
audit_fees_inr_crore,total_vol,1.2933494939290149,1.0,
audit_fees_inr_crore,capm_alpha,-1.8351947745331627,1.0,
CINDEX,downside_vol,-0.4226444757265586,1.0,
CINDEX,idio_vol,-0.648227660133086,1.0,
CINDEX,total_vol,-0.8197986372154721,1.0,
CINDEX,ff5_alpha,-1.1033815076945337,1.0,
CINDEX,capm_alpha,-0.9941634760329432,1.0,
CINDEX,mar_pct,-1.2575593954829702,1.0,
BINDEX,roe,0.13331739083265273,1.0,
BINDEX,downside_vol,-0.3796582287223858,1.0,
BINDEX,idio_vol,-0.531268959157848,1.0,
BINDEX,total_vol,-0.6034366199465471,1.0,
BINDEX,ff5_alpha,-0.7983828126744558,1.0,
BINDEX,capm_alpha,-0.43083757980064297,1.0,
BINDEX,mar_pct,-0.37301590325589656,1.0,
AINDEX,roe,-0.8466494309743722,1.0,
AINDEX,downside_vol,0.7797944267592346,1.0,
AINDEX,idio_vol,0.877001311376691,1.0,
AINDEX,total_vol,0.6727342538960509,1.0,
AINDEX,ff5_alpha,1.373808498583231,1.0,
AINDEX,capm_alpha,1.242772184869233,1.0,
CINDEX,roe,-1.0076985224567085,1.0,
auditor_change_any,downside_vol,-0.5822538408251173,1.0,
DINDEX,mar_pct,0.07664112180344752,1.0,
DINDEX,ff5_alpha,-0.08553907064611524,1.0,
audit_fees_inr_crore,mar_pct,-1.2834477399122592,1.0,
TRINDEX,roe,0.07804702868942787,1.0,
TRINDEX,downside_vol,-0.8893166716313228,1.0,
TRINDEX,idio_vol,-0.7477865872790574,1.0,
TRINDEX,total_vol,-0.9337714495885395,1.0,
TRINDEX,ff5_alpha,-0.8924284184366718,1.0,
TRINDEX,capm_alpha,-0.9674288145641152,1.0,
TRINDEX,mar_pct,-1.0588025051943288,1.0,
OINDEX,roe,1.0170173412528047,1.0,
OINDEX,downside_vol,-0.012579954663149383,1.0,
OINDEX,idio_vol,-0.02211170812979209,1.0,
OINDEX,total_vol,-0.010789552253076904,1.0,
OINDEX,ff5_alpha,0.1316003205864681,1.0,
OINDEX,capm_alpha,0.04158301956314995,1.0,
OINDEX,mar_pct,0.8287390749802056,1.0,
DINDEX,roe,0.21140699817259734,1.0,
DINDEX,downside_vol,-0.05210471109676046,1.0,
DINDEX,idio_vol,-0.0483781023807367,1.0,
DINDEX,total_vol,-0.034052769094397,1.0,
DINDEX,capm_alpha,-0.06278825256238571,1.0,
auditor_change_any,roe,0.3105355562572896,1.0,
