Category,Outcome,t,p_rw,sig_rw
TRINDEX,idio_vol,-3.1227834630751663,0.1625,
TRINDEX,total_vol,-3.038723732276476,0.1885,
BINDEX,ff5_alpha,2.856297053793141,0.258,
OINDEX,idio_vol,-2.553181554937799,0.43,
OINDEX,total_vol,-2.1027008636509272,0.766,
DINDEX,ff5_alpha,-2.046500201471457,0.797,
CINDEX,ff5_alpha,-2.003057476688899,0.8155,
OINDEX,downside_vol,-1.896590265119559,0.869,
BINDEX,mar_pct,1.866783946826794,0.869,
OINDEX,roe,1.807631981316701,0.888,
TRINDEX,downside_vol,-1.7824356045937657,0.8935,
CINDEX,roe,-1.518198475215886,0.9725,
DINDEX,downside_vol,-1.4875245624856908,0.974,
CINDEX,total_vol,-1.4458430349687732,0.9745,
TRINDEX,roe,1.4545395313452107,0.9745,
AINDEX,roe,-1.4645095104836057,0.9745,
BINDEX,capm_alpha,1.428987825787032,0.9745,
AINDEX,mar_pct,1.2857301262455108,0.9825,
BINDEX,roe,1.3602734730941035,0.9825,
BINDEX,downside_vol,-1.2682978846969415,0.9825,
CINDEX,idio_vol,-1.3586699405135252,0.9825,
AINDEX,ff5_alpha,-1.2247536992579857,0.9825,
TRINDEX,ff5_alpha,1.296982140388073,0.9825,
AINDEX,capm_alpha,1.1617409042833642,0.987,
BINDEX,idio_vol,-1.0325076179792585,0.994,
TRINDEX,capm_alpha,-0.7875422461213453,0.9955,
TRINDEX,mar_pct,-0.7245623294249574,0.9955,
OINDEX,ff5_alpha,-0.7568660055828473,0.9955,
CINDEX,capm_alpha,-0.9024278166179419,0.9955,
DINDEX,roe,-0.9797231094877752,0.9955,
DINDEX,capm_alpha,-0.954983541147534,0.9955,
DINDEX,mar_pct,-0.9639864592686037,0.9955,
CINDEX,mar_pct,-0.9546428445813071,0.9955,
OINDEX,mar_pct,-0.5929497170031316,0.9955,
OINDEX,capm_alpha,-0.528581524948629,0.996,
DINDEX,idio_vol,-0.26505858060375254,0.996,
AINDEX,downside_vol,-0.34731537068836643,0.996,
AINDEX,idio_vol,-0.03916638478562655,0.996,
AINDEX,total_vol,0.11864100896441533,0.996,
DINDEX,total_vol,-0.483107366296525,0.996,
BINDEX,total_vol,-0.5566826436140327,0.996,
CINDEX,downside_vol,-0.33437266450068465,0.996,
