Category,Outcome,t,p_rw,sig_rw
TRINDEX,total_vol,-2.5877379308272483,0.3655,
TRINDEX,idio_vol,-2.37034836187251,0.501,
BINDEX,ff5_alpha,2.352551427678367,0.507,
OINDEX,capm_alpha,2.1519583321635447,0.6475,
OINDEX,mar_pct,2.0768511120295883,0.7015,
CINDEX,total_vol,-1.962077167820844,0.758,
AINDEX,ff5_alpha,-1.9674941858028097,0.758,
BINDEX,idio_vol,-1.7477785357211226,0.875,
CINDEX,idio_vol,-1.7529249109194944,0.875,
CINDEX,downside_vol,-1.5081604385330805,0.953,
BINDEX,total_vol,-1.4121130573751839,0.969,
BINDEX,downside_vol,-1.332055647285041,0.9775,
AINDEX,capm_alpha,-1.1990248306629194,0.983,
TRINDEX,ff5_alpha,1.2389970018103438,0.983,
OINDEX,ff5_alpha,-1.2186081657131842,0.983,
AINDEX,mar_pct,-1.1295745462713962,0.9865,
TRINDEX,downside_vol,-1.0090985816244769,0.9945,
CINDEX,ff5_alpha,-0.4312612502964017,0.9995,
AINDEX,total_vol,0.388072057958643,0.9995,
AINDEX,idio_vol,0.20678431776835982,0.9995,
AINDEX,downside_vol,0.4322609372480943,0.9995,
TRINDEX,capm_alpha,-0.16392274872877688,0.9995,
TRINDEX,mar_pct,-0.040592465013420745,0.9995,
OINDEX,roe,-0.32933258783996744,0.9995,
OINDEX,downside_vol,0.6631084936044268,0.9995,
OINDEX,idio_vol,0.4487739626138458,0.9995,
OINDEX,total_vol,0.6749987451979476,0.9995,
AINDEX,roe,-0.06307735879572166,0.9995,
BINDEX,mar_pct,-0.5984063147479364,0.9995,
BINDEX,capm_alpha,-0.5960904104037914,0.9995,
CINDEX,roe,-0.06452917708126504,0.9995,
BINDEX,roe,-0.842354928306516,0.9995,
CINDEX,mar_pct,0.508827399436378,0.9995,
CINDEX,capm_alpha,0.4900330734371039,0.9995,
TRINDEX,roe,0.6575641890945563,0.9995,
