Category,Outcome,t,p_rw,sig_rw
TRINDEX,idio_vol,-3.122784182063823,0.127,
TRINDEX,total_vol,-3.0387239777236634,0.153,
BINDEX,ff5_alpha,2.856296763640888,0.217,
OINDEX,idio_vol,-2.553180854740379,0.3635,
OINDEX,total_vol,-2.1027000812533503,0.677,
CINDEX,ff5_alpha,-2.006705848323534,0.737,
OINDEX,downside_vol,-1.8965715827442022,0.803,
BINDEX,mar_pct,1.8667843303741918,0.803,
OINDEX,roe,1.8076319813165718,0.8405,
TRINDEX,downside_vol,-1.7824834133811494,0.846,
CINDEX,roe,-1.5335443370956026,0.935,
AINDEX,mar_pct,1.2857303864040113,0.9425,
TRINDEX,ff5_alpha,1.2969830159117128,0.9425,
CINDEX,idio_vol,-1.3738476927849563,0.9425,
CINDEX,total_vol,-1.4687157893282998,0.9425,
BINDEX,capm_alpha,1.4289884488789844,0.9425,
AINDEX,capm_alpha,1.161740456261593,0.9425,
AINDEX,ff5_alpha,-1.2247527967582807,0.9425,
AINDEX,roe,-1.4645095104835928,0.9425,
TRINDEX,roe,1.4545395313453267,0.9425,
BINDEX,downside_vol,-1.2683483659468542,0.9425,
BINDEX,roe,1.3602734730938566,0.9425,
BINDEX,idio_vol,-1.0325075544479008,0.9595,
CINDEX,mar_pct,-0.9738279661077762,0.9675,
CINDEX,capm_alpha,-0.9158084023413255,0.9765,
TRINDEX,capm_alpha,-0.787542699721736,0.9845,
OINDEX,mar_pct,-0.5929496699474482,0.985,
OINDEX,ff5_alpha,-0.7568664708920516,0.985,
TRINDEX,mar_pct,-0.7245623791243372,0.985,
BINDEX,total_vol,-0.5566825093328824,0.988,
OINDEX,capm_alpha,-0.5285815060615789,0.988,
AINDEX,downside_vol,-0.34735690086222076,0.988,
AINDEX,idio_vol,-0.03916530108987374,0.988,
AINDEX,total_vol,0.11864229207865234,0.988,
CINDEX,downside_vol,-0.3115373276668676,0.988,
