BSE Code,FY,n_director_changes,n_rating_changes,auditor_change_any,reg30_covered
500002,FY23,4,0,0,1
500002,FY24,0,0,0,1
500002,FY25,1,0,0,1
500034,FY23,13,0,0,1
500034,FY24,6,2,0,1
500034,FY25,5,2,1,1
500049,FY23,17,0,0,1
500049,FY24,4,0,1,1
500049,FY25,11,0,1,1
500092,FY23,3,0,0,1
500092,FY24,2,0,0,1
500092,FY25,0,0,1,1
500093,FY23,3,1,0,1
500093,FY24,1,1,1,1
500093,FY25,6,0,0,1
500106,FY23,8,0,0,1
500106,FY24,5,0,1,1
500106,FY25,4,0,1,1
500125,FY23,5,0,1,1
500125,FY24,1,0,0,1
500125,FY25,2,0,0,1
500163,FY23,2,0,1,1
500163,FY24,4,0,0,1
500163,FY25,3,0,0,1
500164,FY23,1,3,1,1
500164,FY24,1,2,0,1
500164,FY25,1,6,0,1
500165,FY23,3,0,0,1
500165,FY24,2,0,0,1
500165,FY25,6,0,1,1
500180,FY23,2,0,0,1
500180,FY24,8,0,0,1
500180,FY25,1,0,0,1
500182,FY23,3,0,1,1
500182,FY24,1,0,0,1
500182,FY25,4,0,0,1
500188,FY23,3,0,0,1
500188,FY24,5,1,0,1
500188,FY25,8,1,0,1
500233,FY23,8,0,1,1
500233,FY24,2,0,0,1
500233,FY25,1,0,0,1
500252,FY23,2,0,0,1
500252,FY24,4,0,0,1
500252,FY25,5,0,0,1
500266,FY23,0,0,1,1
500266,FY24,0,0,0,1
500266,FY25,6,0,0,1
500325,FY23,4,0,1,1
500325,FY24,12,0,0,1
500325,FY25,4,0,0,1
500410,FY23,14,0,0,1
500410,FY24,0,0,0,1
500410,FY25,4,0,0,1
500425,FY23,13,0,0,1
500425,FY24,0,0,0,1
500425,FY25,8,0,0,1
500469,FY23,1,4,0,1
500469,FY24,1,3,1,1
500469,FY25,2,3,0,1
500493,FY23,4,0,1,1
500493,FY24,5,1,0,1
500493,FY25,9,0,0,1
500510,FY23,3,0,0,1
500510,FY24,8,3,0,1
500510,FY25,4,6,0,1
500520,FY23,0,1,1,1
500520,FY24,10,0,0,1
500520,FY25,18,0,0,1
500530,FY23,9,0,1,1
500530,FY24,5,0,0,1
500530,FY25,0,0,0,1
500570,FY23,3,0,1,1
500570,FY24,1,9,0,1
500570,FY25,3,6,0,1
500645,FY23,7,1,0,1
500645,FY24,1,0,1,1
500645,FY25,3,3,0,1
500710,FY23,0,0,0,1
500710,FY24,9,0,0,1
500710,FY25,6,0,0,1
500790,FY23,7,0,0,1
500790,FY24,4,0,0,1
500790,FY25,6,0,0,1
500800,FY23,1,0,1,1
500800,FY24,3,0,0,1
500800,FY25,2,0,0,1
500830,FY23,5,0,1,1
500830,FY24,0,0,0,1
500830,FY25,0,0,0,1
500850,FY23,1,3,1,1
500850,FY24,1,3,0,1
500850,FY25,3,0,0,1
500877,FY23,1,0,0,1
500877,FY24,1,0,0,1
500877,FY25,13,0,0,1
503100,FY23,0,1,1,1
503100,FY24,13,0,0,1
503100,FY25,0,1,1,1
503806,FY23,6,0,0,1
503806,FY24,2,0,0,1
503806,FY25,3,0,0,1
504614,FY23,0,1,0,1
504614,FY24,5,0,0,1
504614,FY25,3,0,0,1
506285,FY23,0,0,1,1
506285,FY24,6,0,0,1
