BSE Code,company_name,NEWSID,headline,subcategory,extracted_json,raw_text_preview,_provenance,llm_error
500325,RELIANCE INDUSTRIES LTD.,24b1d291-a633-4e91-b3e7-f13ad10503cb,Re-affirmation of rating with respect to the Non-convertible Debentures and Commercial Paper of the Company,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""ICRA Limited"", ""rating_old"": null, ""rating_new"": ""[ICRA]AAA (Stable)"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2025-01-30"", ""direction"": ""reaffirmed""}, {""agency"": ""ICRA Limited"", ""rating_old"": ""[ICRA]A1+"", ""rating_new"": null, ""outlook_old"": null, ""outlook_new"": null, ""effective_date"": ""2025-01-30"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
January 30, 2025 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Stre",ok,
500325,RELIANCE INDUSTRIES LTD.,6fc16351-abab-4827-a3da-6d2a1d68d72d,Re-affirmation of rating with respect to the bank loan facilities and Commercial Paper of the Company,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""India Ratings and Research Private Limited"", ""rating_old"": null, ""rating_new"": ""IND AAA with a Stable Outlook/IND A1+"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2024-12-25"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
December 25, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Str",ok,
500325,RELIANCE INDUSTRIES LTD.,c22412d6-8f33-4c70-bb1f-38cc40199abf,"Re-affirmation of rating with respect to the Non-convertible Debentures, Commercial Paper and bank loan facilities of the Company",Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""CRISIL Ratings Limited"", ""rating_old"": null, ""rating_new"": ""CRISIL AAA/Stable for Non-convertible Debentures and long-term bank loan facilities; CRISIL A1+ for Commercial Paper and short-term bank loan facilities"", ""outlook_old"": ""Stable"", ""outlook_new"": null, ""effective_date"": ""2024-10-30"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
October 30, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Stre",ok,
500325,RELIANCE INDUSTRIES LTD.,b9b66a3e-c3b0-48b8-9c18-e45a1a488c3f,Re-affirmation of rating with respect to the Non-convertible Debentures and Commercial Paper of the Company,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""CARE Ratings Limited"", ""rating_old"": null, ""rating_new"": ""CARE AAA; Stable, CARE A1+"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2024-07-05"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
July 5, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Street, ",ok,
500325,RELIANCE INDUSTRIES LTD.,b3795e01-2a22-4ca3-adba-2c39427e87aa,This is to inform you that the members of the Company have approved: (i) Re-appointment of His Excellency Yasir Othman H. Al. Rumayyan as an Independent Director of the Company for a second ....,Change in Directorate,"{""director_changes"": [{""name"": ""Haigreve Khaitan"", ""event"": ""appointed"", ""effective_date"": null, ""reason"": ""unstated"", ""is_independent"": true}, {""name"": ""Yasir Othman H. Al Rumayyan"", ""event"": ""reappointed"", ""effective_date"": ""2029-07-18"", ""reason"": ""unstated"", ""is_independent"": true}, {""name"": ""P.M.S. Prasad"", ""event"": ""reappointed"", ""effective_date"": ""2024-08-21"", ""reason"": ""unstated"", ""is_independent"": null}], ""auditor_changes"": [], ""credit_rating_changes"": []}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
June 21, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Street,",ok,
500325,RELIANCE INDUSTRIES LTD.,5dedeac6-81b5-431f-a1ce-7dadbae7a713,"Further to our disclosure dated January 19, 2024, please note that Shri Adil Zainulbhai, independent director of the Company, ceased to be a director of the Company upon completion of his ....",Change in Directorate,"{""director_changes"": [{""name"": ""Shri Adil Zainulbhai"", ""event"": ""ceased"", ""effective_date"": ""2024-03-31"", ""reason"": ""term_ended"", ""is_independent"": true}], ""auditor_changes"": [], ""credit_rating_changes"": []}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com 
CIN- L17110MH1973PLC019786 
 
April 1, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers 
Dalal Street ",ok,
500325,RELIANCE INDUSTRIES LTD.,7f7c7fd8-edbb-43d4-9aeb-1d01a0c90fc2,Re-affirmation of rating with respect to the Non-convertible Debentures and Commercial Paper of the Company,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""ICRA Limited"", ""rating_old"": null, ""rating_new"": ""[ICRA]AAA (Stable)"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2024-02-02"", ""direction"": ""reaffirmed""}, {""agency"": ""ICRA Limited"", ""rating_old"": ""[ICRA]A1+"", ""rating_new"": null, ""outlook_old"": null, ""outlook_new"": null, ""effective_date"": ""2024-02-02"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
February 2, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Stre",ok,
500325,RELIANCE INDUSTRIES LTD.,b347046f-7988-4628-93ec-fdf9d43ea6f6,"Please note that Shri Adil Zainulbhai, independent director of the Company, will be completing his second term on March 31, 2024. The Board of Directors of the Company at its meeting held ....",Change in Directorate,"{""director_changes"": [{""name"": ""Adil Zainulbhai"", ""event"": ""ceased"", ""effective_date"": ""2024-03-31"", ""reason"": ""term_ended"", ""is_independent"": true}, {""name"": ""Haigreve Khaitan"", ""event"": ""appointed"", ""effective_date"": ""2024-04-01"", ""reason"": ""unstated"", ""is_independent"": true}], ""auditor_changes"": [], ""credit_rating_changes"": []}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com 
CIN- L17110MH1973PLC019786 
 
January 19, 2024 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Str",ok,
500325,RELIANCE INDUSTRIES LTD.,08d7312b-1169-42f2-948a-0c5157707a4e,Re-affirmation of rating with respect to the bank loan facilities and Commercial Paper of the Company is attached.,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""India Ratings and Research Private Limited"", ""rating_old"": null, ""rating_new"": ""IND AAA"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2023-12-29"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
December 29, 2023 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Str",ok,
500325,RELIANCE INDUSTRIES LTD.,d3f22574-da99-4245-9d6b-09d9772a08ac,Intimation of Credit Rating assigned by CRISIL Ratings Limited,Credit Rating,"{""director_changes"": [], ""auditor_changes"": [], ""credit_rating_changes"": [{""agency"": ""CRISIL Ratings Limited"", ""rating_old"": null, ""rating_new"": ""CRISIL AAA/Stable"", ""outlook_old"": null, ""outlook_new"": ""Stable"", ""effective_date"": ""2023-11-04"", ""direction"": ""reaffirmed""}]}","Regd. Office: 3rd Floor, Maker Chambers IV, 222, Nariman Point, Mumbai- 400 021, India 
Phone #: +91-22-3555 5000, Telefax: +91-22-2204 2268. E-mail: investor.relations@ril.com, Website: www.ril.com  
CIN- L17110MH1973PLC019786 
November 4, 2023 
 
BSE Limited 
Phiroze Jeejeebhoy Towers, 
Dalal Stre",ok,
